logFC	AveExpr	t	P.Value	adj.P.Val	B	symbol	entrez
ENSG00000175063.17	4.10521944578595	8.74018817468154	23.35314337262	1.50811138544522e-93	4.77601569574276e-91	202.598228374316	UBE2C	11065
ENSG00000170312.16	3.23870419352387	6.94348051188464	23.3477915154639	1.62756705991416e-93	5.07118394571319e-91	202.522303444182	CDK1	983
ENSG00000090006.18	-2.34380593529282	5.58093943624557	-23.3292893361237	2.11824885552356e-93	6.423996227547e-91	202.259848370141	LTBP4	8425
ENSG00000171848.16	3.89585523698499	5.34979293111593	23.3289584956008	2.12825219258209e-93	6.423996227547e-91	202.255155776207	RRM2	6241
ENSG00000170509.12	-4.18893265369516	1.26474559573135	-23.2871886161786	3.85746420926126e-93	1.14643836299245e-90	201.662813706866	HSD17B13	345275
ENSG00000004776.13	-4.57873687901876	4.20447573038688	-23.2604401793218	5.64475190643785e-93	1.65220177770555e-90	201.283613282931	HSPB6	126393
ENSG00000161649.13	-6.24200551548743	1.31977772572642	-23.1573260849856	2.44706429459714e-92	7.05558030492949e-90	199.822709539135	CD300LG	146894
ENSG00000131471.7	-3.73295459006565	5.96426242612318	-23.1280396793844	3.71066523364261e-92	1.05415633799276e-89	199.408047547897	AOC3	8639
ENSG00000185842.15	2.34953675587982	3.62407865733359	23.0586617314494	9.94416105799417e-92	2.78407685968596e-89	198.42620641664	DNAH14	127602
ENSG00000138316.11	3.78828975401914	2.36055000595792	23.0055016350023	2.1154900567784e-91	5.83814813097787e-89	197.67433472354	ADAMTS14	140766
ENSG00000088325.16	3.43947375007476	7.38627182614824	23.002309366797	2.21356611580099e-91	6.02277045423147e-89	197.629197399327	TPX2	22974
ENSG00000135451.13	3.71544609690445	4.16367462724653	22.9809915346801	2.99577218664288e-91	8.03782320855101e-89	197.327809154311	TROAP	10024
ENSG00000137745.12	6.91713015893169	5.90106877614016	22.9549021441686	4.33812322774041e-91	1.1479981440204e-88	196.95904900407	MMP13	4322
ENSG00000165810.17	-4.12469792235506	3.39242734293673	-22.9451458477357	4.98219487843119e-91	1.30062217110181e-88	196.821173645434	BTNL9	153579
ENSG00000119771.15	-2.75700130392455	2.0253494212812	-22.9366282225543	5.62214392627675e-91	1.44811435157086e-88	196.700814220799	KLHL29	114818
ENSG00000181856.15	-4.00061023675002	1.50137724677023	-22.9001877564612	9.42710945412374e-91	2.39622237414161e-88	196.186004814836	SLC2A4	6517
ENSG00000144031.12	-2.78244920586685	2.04175664924317	-22.8837262081448	1.19057293170963e-90	2.98694647983983e-88	195.953508447888	ANKRD53	79998
ENSG00000116678.20	-2.84115645101347	4.03554382954608	-22.8635275581449	1.58534922250125e-90	3.92638157439477e-88	195.66828430951	LEPR	3953
ENSG00000168078.10	3.7352868756604	6.49554853837515	22.8547974778578	1.794199077605e-90	4.38738452926245e-88	195.545025605201	PBK	55872
ENSG00000086717.18	3.88665333514436	2.17183188812461	22.7943943901451	4.22282130303324e-90	1.0193559119969e-87	194.692508344915	PPEF1	5475
ENSG00000168477.19	-4.06521080827623	3.68732173512824	-22.7935416927809	4.2741396040868e-90	1.0193559119969e-87	194.680477375542	TNXB	7148
ENSG00000174371.17	3.79623547619793	4.43065048070643	22.7684460091428	6.0984931918179e-90	1.43671574975047e-87	194.326442729558	EXO1	9156
ENSG00000167100.15	2.67985627287858	0.826497737091208	22.7637438240032	6.51843167060878e-90	1.51714533750386e-87	194.260117526348	SAMD14	201191
ENSG00000112984.12	3.65983696718397	5.77122938886452	22.762401557482	6.64352242459979e-90	1.5278519785526e-87	194.241185206857	KIF20A	10112
ENSG00000277494.2	-4.28912411294124	4.17298418952193	-22.7434542126909	8.68794612002754e-90	1.9745146252552e-87	193.973966397061	GPIHBP1	338328
ENSG00000089685.15	3.95999958450724	6.28969499640415	22.7356221581835	9.70676252031376e-90	2.18040974845839e-87	193.863524717854	BIRC5	332
ENSG00000103253.19	3.24631987637848	3.26783616953477	22.7294146098784	1.05983974460354e-89	2.35333151566105e-87	193.775997090062	HAGHL	84264
ENSG00000095637.22	-3.15447290595442	5.97479592629617	-22.7253235941322	1.12303058016556e-89	2.46530735768618e-87	193.718316125487	SORBS1	10580
ENSG00000148773.14	3.62494060188691	5.97445615823894	22.6491898406294	3.29806750373007e-89	7.15865933000647e-87	192.645332879166	MKI67	4288
ENSG00000224958.6	-3.63814741383826	-0.883679392072195	-22.6301371139862	4.31802941399781e-89	9.2684102466233e-87	192.376952388898	PGM5-AS1	572558
ENSG00000123975.5	2.66478555748413	10.1757848071602	22.6184277214673	5.09560054245133e-89	1.08172320086895e-86	192.212039002001	CKS2	1164
ENSG00000105971.15	-2.70415285614087	5.60910301731721	-22.5725713127687	9.74364248947337e-89	2.04595310447442e-86	191.566406136741	CAV2	858
ENSG00000137727.12	-2.99865515961471	1.98751120319595	-22.5452864214987	1.43273104855521e-88	2.97607509634297e-86	191.182403664339	ARHGAP20	57569
ENSG00000010319.7	-3.26198673296701	4.96154850095113	-22.5229029825309	1.96558197552539e-88	4.03948006417016e-86	190.86746949494	SEMA3G	56920
ENSG00000227467.3	-3.45331034088446	1.0663914746093	-22.513060933453	2.2587243342203e-88	4.59305649352293e-86	190.729016906985	LINC01537	101928555
ENSG00000168497.5	-4.40836002594785	5.18809584600298	-22.4949854028488	2.91556804689854e-88	5.86697328437354e-86	190.474779588562	CAVIN2	8436
ENSG00000131747.15	3.75659359815639	7.09241275983645	22.4896332024278	3.14445062259938e-88	6.26231929148194e-86	190.399509228101	TOP2A	7153
ENSG00000187824.9	-2.33392322923076	3.94192535443768	-22.4803878446701	3.58291095223748e-88	7.06272181380853e-86	190.269498260225	TMEM220	388335
ENSG00000129810.15	3.72481088220106	3.17966327287607	22.4225160190901	8.10896137245383e-88	1.58231228073801e-85	189.455993573465	SGO1	151648
ENSG00000106462.11	2.77447322406605	4.59231960215986	22.4176839276793	8.68107400603962e-88	1.67700987648673e-85	189.388092821812	EZH2	2146
ENSG00000172156.4	4.30467452943739	4.40526756812787	22.3210877618516	3.38936527527797e-87	6.48274835522969e-85	188.031503513196	CCL11	6356
ENSG00000137807.16	2.88535740789193	4.91479838536071	22.2952130845338	4.88046709614269e-87	9.24322189836122e-85	187.668377213979	KIF23	9493
ENSG00000165304.8	3.74618831117515	5.81080285869156	22.2910135023209	5.17793689827605e-87	9.71139660202881e-85	187.609450379287	MELK	9833
ENSG00000092853.14	3.45003433977388	3.10804366223604	22.2780346793734	6.21670815007402e-87	1.15475353887625e-84	187.427354991463	CLSPN	63967
ENSG00000164611.13	3.05759472775484	7.53671033595703	22.2549950678763	8.59975612081081e-87	1.5821913213507e-84	187.104172693107	PTTG1	9232
ENSG00000100526.20	2.90992112910108	6.58123175442237	22.2492582673952	9.32331528385343e-87	1.69913023258e-84	187.023714724124	CDKN3	1033
ENSG00000101605.13	-2.81172537197552	2.25013717650954	-22.2419743498603	1.03302979016794e-86	1.86505322303404e-84	186.921566414377	MYOM1	8736
ENSG00000011426.11	3.59319125566859	5.41602739172919	22.2185501074549	1.43658272224231e-86	2.56962083595157e-84	186.593128466213	ANLN	54443
ENSG00000123243.15	-3.77480427344184	4.30165980284601	-22.195508495609	1.98687536247388e-86	3.48931438657004e-84	186.270144040609	ITIH5	80760
ENSG00000161888.11	3.18220760479324	5.23891725879841	22.1421228585039	4.21055006870166e-86	7.32787443488096e-84	185.522153679121	SPC24	147841
ENSG00000173641.18	-4.38779386066287	3.28891894774223	-22.1393606252353	4.37733239013289e-86	7.550116706481e-84	185.48346478754	HSPB7	27129
ENSG00000156970.13	3.21840693969566	4.54362632880468	22.0353442546275	1.88840838211123e-85	3.22834275448007e-83	184.027510689776	BUB1B	701
ENSG00000136158.12	-2.81962826423387	5.86070732664546	-21.9785889573692	4.1896378968656e-85	7.03786303405649e-83	183.233865963895	SPRY2	10253
ENSG00000121691.7	-1.83469585518215	8.40301856393253	-21.9763378719128	4.32412378450859e-85	7.20115717837388e-83	183.202399093855	CAT	847
ENSG00000165480.16	3.25184024990574	5.0619467556444	21.923325413416	9.09763470698941e-85	1.48939073957306e-82	182.461617340172	SKA3	221150
ENSG00000164330.17	-2.70045937778297	4.34025782560893	-21.8995873218251	1.26913307715531e-84	2.06026157852827e-82	182.130066782288	EBF1	1879
ENSG00000134057.15	2.34248705035866	8.29018106114807	21.8415264135625	2.86385083387699e-84	4.61032253406964e-82	181.319546798941	CCNB1	891
ENSG00000138160.7	2.62075668536707	5.72123949885758	21.8338586259958	3.1886612205944e-84	5.09078987268121e-82	181.212550477701	KIF11	3832
ENSG00000167900.12	2.71416062371817	8.80647298052365	21.8305891911755	3.33811504223384e-84	5.28571363818634e-82	181.166931958751	TK1	7083
ENSG00000143549.21	1.22590806696032	8.92334088881233	21.8244786793497	3.6364580340571e-84	5.71130864243211e-82	181.081676912857	TPM3	7170
ENSG00000100162.15	2.8240039558489	6.07338710343643	21.8189276956134	3.93051183108588e-84	6.12335706071912e-82	181.004234279969	CENPM	79019
ENSG00000182010.11	2.69343516386208	3.32418129340377	21.7582904885065	9.18739025573043e-84	1.4198560396816e-81	180.158634476914	RTKN2	219790
ENSG00000109805.10	3.3585102082701	4.51515972536691	21.7500244915088	1.03142256091156e-83	1.58135087553092e-81	180.043414463021	NCAPG	64151
ENSG00000165478.7	-4.66553068676385	-1.08675729824092	-21.7306880075297	1.35192191349077e-83	2.05641161612714e-81	179.773930808901	HEPACAM	220296
ENSG00000035499.13	3.38502028264933	3.58888935278928	21.6809413899715	2.71109686340195e-83	4.09163821931241e-81	179.080947337194	DEPDC1B	55789
ENSG00000080986.13	3.32991940500065	5.23841662425378	21.6720642287085	3.0693762970341e-83	4.59645048884533e-81	178.957333643765	NDC80	10403
ENSG00000177666.17	-2.15306847967412	7.593639049523	-21.6625623596007	3.50543355316821e-83	5.20907426000795e-81	178.825036953545	PNPLA2	57104
ENSG00000243742.5	2.95050451932553	2.99559633614508	21.6533689592494	3.98614974469466e-83	5.83366975515239e-81	178.697050922649	RPLP0P2	113157
ENSG00000011523.14	-1.17257946103737	5.58768997214215	-21.6397901925929	4.81921295751461e-83	6.99029455061076e-81	178.508042406003	CEP68	23177
ENSG00000186871.7	3.12387936013059	3.47691571623111	21.6393515995809	4.84884289150969e-83	6.99029455061076e-81	178.501938013234	ERCC6L	54821
ENSG00000024526.17	3.74399052191625	3.68548440660983	21.6297312978046	5.54655942661513e-83	7.93692111135933e-81	178.368050368135	DEPDC1	55635
ENSG00000162062.15	2.43914323674494	4.39615615255227	21.6240665684747	6.00342955446774e-83	8.52751853920646e-81	178.289221202751	TEDC2	80178
ENSG00000132182.12	2.16420124480308	6.69644854523239	21.5973062815763	8.72481669177764e-83	1.23026283833402e-80	177.916911076831	NUP210	23225
ENSG00000104888.10	-2.98749162938351	-0.0137503615523804	-21.577153209081	1.15608206183766e-82	1.61834733844781e-80	177.636613500786	SLC17A7	57030
ENSG00000149124.11	-5.6849340164366	0.100502532975156	-21.5691282012259	1.29316157434249e-82	1.7972154887157e-80	177.525019317479	GLYAT	10249
ENSG00000072163.20	-2.19132042318076	4.30357174623347	-21.5272174069399	2.32122675344743e-82	3.20296131593553e-80	176.942411850254	LIMS2	55679
ENSG00000163545.11	2.34387044263976	5.18485261344015	21.5214504646219	2.51574030000223e-82	3.44674263230092e-80	176.862270636945	NUAK2	81788
ENSG00000111665.12	3.28302612138611	4.09806209508351	21.5083337994075	3.02095312884838e-82	4.10977271430232e-80	176.680016189202	CDCA3	83461
ENSG00000135094.11	3.12175464211992	5.48278959014374	21.4850117280324	4.18239759040564e-82	5.65003892667526e-80	176.356039147742	SDS	10993
ENSG00000175445.17	-4.40969983914579	6.3623730805913	-21.4811234455071	4.4154560211183e-82	5.92345690388634e-80	176.302035340522	LPL	4023
ENSG00000177469.13	-2.4250141750216	9.43168369825496	-21.4788288198069	4.55903463560189e-82	6.07389179934878e-80	176.270166953644	CAVIN1	284119
ENSG00000135437.10	-3.46332645327587	1.42638423444631	-21.4742034675785	4.86278284682479e-82	6.4341944544494e-80	176.205931839462	RDH5	5959
ENSG00000126218.12	-2.85775521971643	3.40312188535122	-21.4677445633992	5.32106108054912e-82	6.9926706091189e-80	176.116239860412	F10	2159
ENSG00000105011.9	2.77923460990159	7.45074142864872	21.4594959446348	5.96959189756616e-82	7.7919308295394e-80	176.001706433395	ASF1B	55723
ENSG00000109686.19	-1.87814004527749	6.5259561988431	-21.453416881794	6.49756334900706e-82	8.42415629369921e-80	175.917305939462	SH3D19	152503
ENSG00000168079.17	-6.17204851063659	2.1388123054612	-21.4488557203068	6.92411412443241e-82	8.91733577705236e-80	175.853984310482	SCARA5	286133
ENSG00000165072.10	-3.67782386733422	3.92312990598896	-21.3908595256083	1.55356067405794e-81	1.98752881466565e-79	175.049182770359	MAMDC2	256691
ENSG00000237649.8	3.03416429915808	6.60499476485205	21.2790710975469	7.36243294878253e-81	9.29591370618176e-79	173.499752451417	KIFC1	3833
ENSG00000051341.14	3.26202369037775	2.94331818965272	21.2687903141251	8.49394313213194e-81	1.0654934638086e-78	173.357379499511	POLQ	10721
ENSG00000183682.8	2.82447252287637	3.40226711748943	21.2492466450913	1.11458491734524e-80	1.38913235053389e-78	173.086787336261	BMP8A	353500
ENSG00000162849.16	3.27366149203391	4.3710949510053	21.239217359694	1.28131781593067e-80	1.58669856206082e-78	172.947956005356	KIF26B	55083
ENSG00000101115.13	3.35916430141666	1.8625745786408	21.2036667844312	2.09988342429714e-80	2.56743974623875e-78	172.456004437346	SALL4	57167
ENSG00000075218.19	3.21517933282584	4.31933542008487	21.1660917517853	3.5386050151817e-80	4.26006119717849e-78	171.936311967347	GTSE1	51512
ENSG00000101331.17	-2.15101421832122	3.37073207956972	-21.1658517058849	3.55041853579945e-80	4.26006119717849e-78	171.932992850385	CCM2L	140706
ENSG00000099260.11	-2.66091270451991	5.24418212618508	-21.1420340699313	4.94166935485408e-80	5.89278818500439e-78	171.603723691059	PALMD	54873
ENSG00000248869.7	-3.72810415163394	-0.671283725654571	-21.1405443061834	5.04491296975751e-80	5.97899562882059e-78	171.58313210165	LINC02511	105377441
ENSG00000111206.13	3.4775703291288	5.37421577791851	21.113574176096	7.33484046879053e-80	8.63990537659118e-78	171.210427006131	FOXM1	2305
ENSG00000171241.9	3.12725466807649	3.74514191810451	21.0971763179135	9.20835723939776e-80	1.07810330394355e-77	170.983893937442	SHCBP1	79801
ENSG00000060718.22	5.96130588352457	6.35745000149639	21.0957070418241	9.39794488240502e-80	1.09367168215843e-77	170.963598848473	COL11A1	1301
ENSG00000165410.15	-1.66764794670901	5.29973605806958	-21.0897279464629	1.02105292720746e-79	1.1766108975528e-77	170.881014212319	CFL2	1073
ENSG00000068976.14	-2.65410756917601	0.830786911012597	-21.0895732579673	1.02324583698556e-79	1.1766108975528e-77	170.878877715689	PYGM	5837
ENSG00000076555.15	-3.03450578054699	4.85593924261267	-21.0830317623398	1.12041599916087e-79	1.28072167288696e-77	170.788533603061	ACACB	32
ENSG00000137225.13	-2.74973408392561	1.98113271923479	-21.082395040937	1.13035292559096e-79	1.28447987156272e-77	170.779740355438	CAPN11	11131
ENSG00000278023.7	3.48139039058377	2.96505202658316	21.0779080752941	1.2029194579307e-79	1.35894725662604e-77	170.71777681722	RDM1	201299
ENSG00000101003.10	2.74624993286414	4.18710960390608	21.0756466945235	1.24123756497268e-79	1.39408298140362e-77	170.686549436223	GINS1	9837
ENSG00000122966.17	2.50519484682467	4.15774165786088	21.0377406376031	2.09924635124714e-79	2.34411797765273e-77	170.163260472774	CIT	11113
ENSG00000245812.3	-2.78376425432155	0.61377706479238	-21.0330718299483	2.23955925307666e-79	2.4864256121227e-77	170.098828425923	LINC02202	101927740
ENSG00000241684.6	-3.05550360098432	-0.535618994610435	-21.0316031691082	2.2856054917898e-79	2.52304725087973e-77	170.07856104381	ADAMTS9-AS2	100507098
ENSG00000124440.16	-4.51986408679064	-0.469929699499677	-21.0279885371265	2.40300170951103e-79	2.63756744456444e-77	170.028681345967	HIF3A	64344
ENSG00000240654.6	-3.33317195860626	0.666158628658409	-21.0229967198073	2.57509267452491e-79	2.81048815177809e-77	169.959801747908	C1QTNF9	338872
ENSG00000267603.1	-3.30413844137381	0.182166208871399	-21.0190336426244	2.7204422903069e-79	2.95244405416565e-77	169.90512086776	LINC01028	101928141
ENSG00000142945.13	3.26027675986085	5.64117355257754	21.0148706362334	2.88195822742634e-79	3.11026084007944e-77	169.847684925883	KIF2C	11004
ENSG00000176438.12	-2.48556241634082	3.74273628370627	-21.0030708773669	3.39372471158049e-79	3.64222077657288e-77	169.684906035635	SYNE3	161176
ENSG00000177363.5	-3.70468489795124	4.15697438840121	-20.9945374382672	3.81950587771614e-79	4.07653119037129e-77	169.567204246307	LRRN4CL	221091
ENSG00000196549.12	-3.88458244610962	4.70983282526423	-20.9806400305496	4.63008868615828e-79	4.91450841973658e-77	169.375549388378	MME	4311
ENSG00000113648.16	1.21325536827059	7.65455897958924	20.9629336747553	5.91635516648886e-79	6.24547262875584e-77	169.131424420504	MACROH2A1	9555
ENSG00000258227.7	3.70384367172142	3.10850894893815	20.9041268269109	1.33489150550289e-78	1.40149098387526e-76	168.32109777172	CLEC5A	23601
ENSG00000121152.10	3.03396519752516	4.1305323521976	20.8969509477601	1.474168131269e-78	1.53935026810024e-76	168.222267514906	NCAPH	23397
ENSG00000129173.13	3.82474878591567	3.17764910616439	20.8821473348462	1.809040713811e-78	1.87887357577424e-76	168.018417966826	E2F8	79733
ENSG00000203711.14	2.94263590874236	3.56938431674484	20.8768450681495	1.94663988104629e-78	2.01097268567124e-76	167.94541560406	LINC02901	100130967
ENSG00000171819.5	-5.22699892194434	0.966390020490805	-20.8734466522144	2.04028078350041e-78	2.09649703062027e-76	167.89862884296	ANGPTL7	10218
ENSG00000165891.16	3.51425465741904	2.33753704526154	20.8398680836107	3.24519843492568e-78	3.29951280873127e-76	167.43647613483	E2F7	144455
ENSG00000122952.17	2.33930021754976	7.97883027557385	20.8353663517417	3.45346066508857e-78	3.49287712712989e-76	167.374535476558	ZWINT	11130
ENSG00000189129.14	-3.30265688374365	6.28473410076532	-20.8323951522768	3.59817749124855e-78	3.62029129041351e-76	167.333656219837	PLAC9	219348
ENSG00000159433.12	-1.85663557800228	3.19861307404597	-20.816410452409	4.48726327392257e-78	4.4914482863024e-76	167.113762847751	STARD9	57519
ENSG00000117155.17	1.62930139732306	5.34304083921159	20.7962375486051	5.92889473108741e-78	5.903834454389e-76	166.836332094709	SSX2IP	117178
ENSG00000076706.17	-2.19494784280769	6.84537334442708	-20.7927014545124	6.22556119092956e-78	6.16745595314755e-76	166.787710393261	MCAM	4162
ENSG00000163884.4	-3.76562534769309	2.86908397363644	-20.7891262108394	6.54058907702706e-78	6.44648468316372e-76	166.738553095776	KLF15	28999
ENSG00000130176.8	-3.72665628390902	6.31956211067242	-20.7764282907534	7.79378258604068e-78	7.64265441609817e-76	166.563986965665	CNN1	1264
