genes	logFC	logCPM	PValue	FDR	symbol	entrez
ENSG00000004776.13	ENSG00000004776.13	-3.79080430995717	2.60435079958587	1.90326787967271e-152	5.17849702810105e-150	HSPB6	126393
ENSG00000135218.19	ENSG00000135218.19	-4.03189985607126	7.810989567288	2.1980242032485e-152	5.89742104977145e-150	CD36	948
ENSG00000162733.19	ENSG00000162733.19	-2.5877738019398	6.2844259778009	4.19823597810651e-152	1.11097976198715e-149	DDR2	4921
ENSG00000165410.15	ENSG00000165410.15	-1.79244517222913	4.42757872068838	1.88673146772541e-151	4.92538898561075e-149	CFL2	1073
ENSG00000154258.17	ENSG00000154258.17	-3.46077272519061	3.30793681276241	2.86571011885127e-151	7.38130507679584e-149	ABCA9	10350
ENSG00000108381.11	ENSG00000108381.11	-3.28918439620708	1.45425242493116	3.12812451411508e-151	7.95119860048357e-149	ASPA	443
ENSG00000180914.10	ENSG00000180914.10	-4.01759501666042	5.26885133364683	2.52079308672718e-150	6.32424426615528e-148	OXTR	5021
ENSG00000109686.19	ENSG00000109686.19	-1.96268817285712	6.32192926688419	4.02154396923001e-150	9.96002389712633e-148	SH3D19	152503
ENSG00000171227.7	ENSG00000171227.7	-2.79208016433469	4.11349524517956	7.15842751372604e-150	1.75046205962227e-147	TMEM37	140738
ENSG00000101938.15	ENSG00000101938.15	-4.18706856856212	5.65293761087417	1.03110137696389e-149	2.48985205002356e-147	CHRDL1	91851
ENSG00000188536.13	ENSG00000188536.13	-4.23268181709611	2.51114731109488	2.30131933865092e-149	5.48850456593315e-147	HBA2	3040
ENSG00000149124.11	ENSG00000149124.11	-5.37394376205039	1.41379017771705	7.29328178870599e-149	1.69748936860509e-146	GLYAT	10249
ENSG00000134548.11	ENSG00000134548.11	-4.90948441005363	2.09911056597041	1.31951800723297e-148	3.03457724568172e-146	SPX	80763
ENSG00000165124.18	ENSG00000165124.18	-3.08981475022116	5.60256397182331	6.46046909116068e-148	1.46827461062402e-145	SVEP1	79987
ENSG00000161649.13	ENSG00000161649.13	-4.6498412119061	3.41003532837562	1.51944018583119e-146	3.41308668719616e-144	CD300LG	146894
ENSG00000205726.15	ENSG00000205726.15	-1.7428913622232	5.75309959671246	6.544792194137e-145	1.45324477708435e-142	ITSN1	6453
ENSG00000084674.15	ENSG00000084674.15	-4.85415503194224	0.818771569541117	4.42615083368205e-144	9.71640702330338e-142	APOB	338
ENSG00000182782.8	ENSG00000182782.8	-3.19523463676459	1.70220754003769	6.27209847393056e-143	1.36139773392574e-140	HCAR2	338442
ENSG00000221866.9	ENSG00000221866.9	-3.14744943145813	4.22032982992888	2.4694381583019e-142	5.30051181578623e-140	PLXNA4	91584
ENSG00000174059.17	ENSG00000174059.17	-2.05460146606785	6.57315564435291	7.09907648256824e-142	1.50703252187091e-139	CD34	947
ENSG00000198624.13	ENSG00000198624.13	-2.67345849113021	5.19762826710714	1.42164628326027e-141	2.98514814130673e-139	CCDC69	26112
ENSG00000157150.5	ENSG00000157150.5	-4.26528674572969	3.64534385588218	1.88334580432471e-141	3.91209400515534e-139	TIMP4	7079
ENSG00000186205.13	ENSG00000186205.13	-2.54159382026324	4.0999513886448	2.19701960407397e-141	4.5151090118618e-139	MTARC1	64757
ENSG00000077157.22	ENSG00000077157.22	-1.96972461834533	6.0563751299248	8.22300090162441e-141	1.67212559386927e-138	PPP1R12B	4660
ENSG00000112964.14	ENSG00000112964.14	-3.03665562271917	5.02516369556834	8.61669075358928e-140	1.73392949976914e-137	GHR	2690
ENSG00000129596.5	ENSG00000129596.5	-3.43780099233801	3.19933197111244	1.25567288444477e-139	2.50073080223753e-137	CDO1	1036
ENSG00000158571.11	ENSG00000158571.11	-3.29112040356542	1.52324707927758	1.62264700020626e-139	3.19860150510046e-137	PFKFB1	5207
ENSG00000231246.2	ENSG00000231246.2	-3.6528113527256	1.50799390640721	4.6898589379412e-139	9.05986949631482e-137	LINC02884	105378909
ENSG00000124615.20	ENSG00000124615.20	-2.00966044604965	4.37965732895437	1.02487988008679e-136	1.96026034886302e-134	MOCS1	4337
ENSG00000138207.14	ENSG00000138207.14	-4.42503609678777	4.7836420105249	1.47114163713049e-136	2.78622687706734e-134	RBP4	5950
ENSG00000170323.9	ENSG00000170323.9	-4.66588523943119	7.67495114591502	4.34773523036004e-136	8.15432516311605e-134	FABP4	2167
ENSG00000131386.19	ENSG00000131386.19	-3.12697598399303	4.43380587002571	4.9576628630209e-136	9.20885876806132e-134	GALNT15	117248
ENSG00000215483.11	ENSG00000215483.11	-3.21194722838919	0.018785787468476	4.67825828668502e-135	8.60710415068392e-133	LINC00548	400123
ENSG00000263155.6	ENSG00000263155.6	-2.9667004733807	1.84270596244753	4.90515041395165e-134	8.93940525440735e-132	MYZAP	100820829
ENSG00000162407.9	ENSG00000162407.9	-1.86183549551494	5.96774529002147	1.51203749958781e-133	2.72986359037731e-131	PLPP3	8613
ENSG00000004799.8	ENSG00000004799.8	-3.38601091486508	6.68932983683485	1.28736442677243e-132	2.30271351818424e-130	PDK4	5166
ENSG00000151468.11	ENSG00000151468.11	-2.60490472002105	4.84676087811725	2.42511685784774e-132	4.29801903301859e-130	CCDC3	83643
ENSG00000246430.7	ENSG00000246430.7	-3.82244534712253	0.0350120434353911	6.79223615318563e-132	1.19284016370218e-129	LINC00968	100507632
ENSG00000141338.14	ENSG00000141338.14	-3.62968871931683	4.24232911365569	1.18237439525101e-130	2.05775752859991e-128	ABCA8	10351
ENSG00000177363.5	ENSG00000177363.5	-3.13961328632883	2.21642625138981	7.1801097614412e-128	1.23844071760287e-125	LRRN4CL	221091
ENSG00000076706.17	ENSG00000076706.17	-1.97770381354813	7.20908518125828	2.17483490155357e-127	3.71800536532849e-125	MCAM	4162
ENSG00000151726.15	ENSG00000151726.15	-2.54674112699268	7.40188886333207	5.9986833832415e-126	1.01651373331105e-123	ACSL1	2180
ENSG00000132837.15	ENSG00000132837.15	-2.5450650423629	1.15553186746305	8.01816521395554e-126	1.34691230959298e-123	DMGDH	29958
ENSG00000169744.13	ENSG00000169744.13	-2.04225170126361	4.18346370173418	2.52804436857941e-124	4.21006561312215e-122	LDB2	9079
ENSG00000010319.7	ENSG00000010319.7	-2.67341906420005	5.3148339167111	3.63582932284549e-124	6.00315819305377e-122	SEMA3G	56920
ENSG00000106034.18	ENSG00000106034.18	-2.78429079094222	4.25980600246945	3.70001803989413e-124	6.05736851649787e-122	CPED1	79974
ENSG00000127955.17	ENSG00000127955.17	-2.36575418867522	4.31750702584858	4.74801037121773e-124	7.7077365000995e-122	GNAI1	2770
ENSG00000132840.10	ENSG00000132840.10	-2.90034814152691	2.98455445550832	5.71699403275771e-124	9.20340756040113e-122	BHMT2	23743
ENSG00000187288.12	ENSG00000187288.12	-4.83931573043275	5.08338321598357	6.6793786762226e-122	1.06638212617577e-119	CIDEC	63924
ENSG00000196549.12	ENSG00000196549.12	-3.22352440842396	5.70903800585748	1.92432154654352e-121	3.04705275705965e-119	MME	4311
ENSG00000165072.10	ENSG00000165072.10	-3.03107249050007	3.17891431649087	2.62403149734792e-121	4.12122280209489e-119	MAMDC2	256691
ENSG00000127920.6	ENSG00000127920.6	-2.03376455437331	5.13932441671672	9.45749939375856e-121	1.4733868813599e-118	GNG11	2791
ENSG00000143196.5	ENSG00000143196.5	-3.17537794990253	4.51437926954332	1.78533282661332e-120	2.75912476356129e-118	DPT	1805
ENSG00000196616.14	ENSG00000196616.14	-4.86065423634868	7.34009213015073	2.91721149089587e-120	4.47259456993067e-118	ADH1B	125
ENSG00000135046.14	ENSG00000135046.14	-2.29518868711504	7.74877231294501	4.41065283756758e-120	6.70905445008901e-118	ANXA1	301
ENSG00000131069.20	ENSG00000131069.20	-1.50279943560329	5.72611731564653	4.1536502324127e-119	6.26876681169911e-117	ACSS2	55902
ENSG00000152465.18	ENSG00000152465.18	-1.83934766985388	4.25231920732797	9.85813970759912e-119	1.47627552613488e-116	NMT2	9397
ENSG00000179921.15	ENSG00000179921.15	-2.67933449462279	0.286848628273039	1.0438409112471e-118	1.5511475941132e-116	GPBAR1	151306
ENSG00000154263.17	ENSG00000154263.17	-3.14299762722422	2.12801934615385	6.40006539982644e-118	9.43789796899597e-116	ABCA10	10349
ENSG00000171914.16	ENSG00000171914.16	-1.81293539659226	5.45176014181897	8.05056180558614e-118	1.17818752242661e-115	TLN2	83660
ENSG00000123689.6	ENSG00000123689.6	-3.60295511904287	4.96144248642813	5.26033926010217e-117	7.64054389674089e-115	G0S2	50486
ENSG00000245812.3	ENSG00000245812.3	-2.83055987211492	-0.117830343509198	1.0384874028047e-116	1.49712683935681e-114	LINC02202	101927740
ENSG00000163431.13	ENSG00000163431.13	-2.45128867872205	4.86394149671472	1.28418385191789e-116	1.83761952972961e-114	LMOD1	25802
ENSG00000120907.18	ENSG00000120907.18	-4.03993080914888	-0.0625131961877311	6.65735047820943e-116	9.45637474544484e-114	ADRA1A	148
ENSG00000123500.10	ENSG00000123500.10	7.31889719821431	7.22816235988902	7.1007548261425e-116	1.00125826081329e-113	COL10A1	1300
ENSG00000108001.15	ENSG00000108001.15	-2.50017604887207	2.56784032203143	1.08514399799467e-115	1.51904432994645e-113	EBF3	253738
ENSG00000286289.1	ENSG00000286289.1	-2.90952608111827	0.816891165574651	1.22920182829067e-115	1.7083252459654e-113	LOC107984270	107984270
ENSG00000133317.16	ENSG00000133317.16	-4.14807498183621	2.89955690834641	1.3151148167067e-115	1.81467057351e-113	LGALS12	85329
ENSG00000106823.12	ENSG00000106823.12	-2.47050119763217	5.15462614122851	7.12637274076902e-115	9.76363607135999e-113	ECM2	1842
ENSG00000187824.9	ENSG00000187824.9	-2.18849158437403	2.10437911385849	1.06787020476062e-114	1.45275469123701e-112	TMEM220	388335
ENSG00000157654.19	ENSG00000157654.19	-1.89620631136033	6.66569533754572	4.31931935263046e-114	5.83500778000806e-112	PALM2AKAP2	445815
ENSG00000104888.10	ENSG00000104888.10	-2.79738344498364	0.598562871280095	6.63565351514417e-114	8.90191351427466e-112	SLC17A7	57030
ENSG00000234456.8	ENSG00000234456.8	-2.13121479028619	3.95096963835705	6.73814381459987e-114	8.9770663593407e-112	MAGI2-AS3	100505881
ENSG00000131016.17	ENSG00000131016.17	-2.55286543596782	5.75184803177658	8.20397640288266e-114	1.08550969966361e-111	AKAP12	9590
ENSG00000099953.10	ENSG00000099953.10	6.38560625032255	8.76578002737114	9.18070213899591e-114	1.20648165932737e-111	MMP11	4320
ENSG00000181234.9	ENSG00000181234.9	-4.31113004850515	2.85235888333081	1.35789078046069e-113	1.77241446600943e-111	TMEM132C	92293
ENSG00000135447.17	ENSG00000135447.17	-3.72665885188738	4.58193314699426	6.42000689631731e-113	8.3236035720173e-111	PPP1R1A	5502
ENSG00000136960.13	ENSG00000136960.13	-2.65433450334102	5.7105000712093	1.8942058277686e-112	2.43948454538892e-110	ENPP2	5168
ENSG00000197769.6	ENSG00000197769.6	-3.35428188694002	0.298739613562774	1.44990206486784e-111	1.85491444298787e-109	MAP1LC3C	440738
ENSG00000186458.5	ENSG00000186458.5	-4.36005183880394	0.795689951052565	2.22373381738858e-111	2.82619012396793e-109	DEFB132	400830
ENSG00000124253.11	ENSG00000124253.11	-4.74440877082016	3.23614258237307	3.21082939029899e-111	4.05403935698013e-109	PCK1	5105
ENSG00000167434.10	ENSG00000167434.10	-4.71873457925498	1.41184851844551	7.29794645086281e-111	9.15465776219271e-109	CA4	762
ENSG00000112293.15	ENSG00000112293.15	-2.63216505790402	1.62358290551064	7.68218937319266e-111	9.57448608460231e-109	GPLD1	2822
ENSG00000119729.12	ENSG00000119729.12	-1.44534847649907	5.89347173184688	1.16882890124702e-110	1.44739978937756e-108	RHOQ	23433
ENSG00000136158.12	ENSG00000136158.12	-2.31500830085006	4.22912450644427	1.37162951487204e-110	1.68771585785337e-108	SPRY2	10253
ENSG00000163513.19	ENSG00000163513.19	-2.13063314183061	7.27285173435071	1.51050341061807e-110	1.8468294231848e-108	TGFBR2	7048
ENSG00000166250.12	ENSG00000166250.12	-2.23908706227053	5.44062450318382	3.48650464181929e-110	4.23599350129969e-108	CLMP	79827
ENSG00000151914.20	ENSG00000151914.20	-2.3105749549187	8.22514228357922	3.98806371359423e-110	4.81508842620083e-108	DST	667
ENSG00000113594.10	ENSG00000113594.10	-2.49798350981951	5.81312416840501	7.53938758928714e-110	9.0463285372577e-108	LIFR	3977
ENSG00000130876.11	ENSG00000130876.11	-4.18078152666851	1.47489460975221	8.81259520342897e-110	1.05087477864099e-107	SLC7A10	56301
ENSG00000181092.10	ENSG00000181092.10	-4.9042468158579	6.68313782445335	1.56039047916721e-109	1.84930204150627e-107	ADIPOQ	9370
ENSG00000227467.3	ENSG00000227467.3	-3.23812053891436	-0.714409364024753	1.58505687684514e-109	1.86708102115209e-107	LINC01537	101928555
ENSG00000130176.8	ENSG00000130176.8	-2.95686796192512	5.33431482990498	2.68123027545103e-109	3.13915190673715e-107	CNN1	1264
ENSG00000133401.16	ENSG00000133401.16	-2.49693981072792	5.21450746408151	3.93740779965786e-109	4.5820990285416e-107	PDZD2	23037
ENSG00000171596.7	ENSG00000171596.7	-3.08866034530582	0.350541917740844	1.0107096917654e-108	1.16915507937269e-106	NMUR1	10316
ENSG00000163884.4	ENSG00000163884.4	-3.0054719972055	2.0159840226537	1.09542164295518e-108	1.25960448206e-106	KLF15	28999
ENSG00000092445.12	ENSG00000092445.12	-2.01667763631445	3.9241886628709	1.58543837289626e-108	1.81227801701834e-106	TYRO3	7301
ENSG00000114698.15	ENSG00000114698.15	-2.05608159716874	4.83585085629356	9.58865529422812e-108	1.08960966455235e-105	PLSCR4	57088
ENSG00000198947.16	ENSG00000198947.16	-2.84317208520209	4.84303092009434	1.83811441771246e-107	2.07653183165903e-105	DMD	1756
ENSG00000101955.15	ENSG00000101955.15	-2.40506094429294	4.67621088844992	1.46740309294503e-106	1.64809842729722e-104	SRPX	8406
ENSG00000073712.15	ENSG00000073712.15	-1.81491002621562	6.04188053840289	2.09953625422564e-106	2.34444169705959e-104	FERMT2	10979
ENSG00000277494.2	ENSG00000277494.2	-3.13426798303462	2.85388690972207	2.8254597132503e-106	3.1369098126764e-104	GPIHBP1	338328
ENSG00000116194.13	ENSG00000116194.13	-2.94388265680764	2.60517433590015	7.5756410987036e-106	8.36264198541463e-104	ANGPTL1	9068
ENSG00000147251.15	ENSG00000147251.15	-2.21057394211524	4.82707141862042	3.06146864732488e-105	3.36030973460353e-103	DOCK11	139818
ENSG00000185010.15	ENSG00000185010.15	-1.71588193082905	4.57421768875458	4.57137694833175e-105	4.98925762078377e-103	F8	2157
ENSG00000150907.10	ENSG00000150907.10	-1.76749543290092	4.88496286276488	6.69104789038233e-104	7.26166646889921e-102	FOXO1	2308
ENSG00000152492.15	ENSG00000152492.15	-1.25050014993039	6.24669328794914	7.0041510479971e-104	7.55900502487196e-102	CCDC50	152137
ENSG00000153303.17	ENSG00000153303.17	-3.6130743935451	0.0569855176633851	8.79797177167392e-104	9.44217881584426e-102	FRMD1	79981
ENSG00000165478.7	ENSG00000165478.7	-4.50177553457129	-0.0782005469368673	2.0554488386809e-103	2.19376578263191e-101	HEPACAM	220296
ENSG00000198848.13	ENSG00000198848.13	-3.50237758797275	4.6860238282382	4.53307928751867e-103	4.81153987232339e-101	CES1	1066
ENSG00000101280.8	ENSG00000101280.8	-3.04327346814008	-0.191665444241767	7.92860189701111e-103	8.36965745609075e-101	ANGPT4	51378
ENSG00000169252.6	ENSG00000169252.6	-2.56173694312414	2.19228434548992	1.68263941909838e-102	1.76658849446427e-100	ADRB2	154
ENSG00000183722.9	ENSG00000183722.9	-1.93471232359383	5.67473523698761	3.17213153211764e-102	3.31239118580803e-100	LHFPL6	10186
ENSG00000168874.13	ENSG00000168874.13	-2.98913607263855	2.46407882511843	7.67588528852446e-102	7.97219096794169e-100	ATOH8	84913
ENSG00000154262.13	ENSG00000154262.13	-2.59046675361866	3.37357700896739	7.80690873793185e-102	8.06491245985922e-100	ABCA6	23460
ENSG00000227591.5	ENSG00000227591.5	-3.75113439665284	-0.158087067578712	1.66986236262852e-101	1.7158724000669e-99	HSD11B1-AS1	101930114
ENSG00000147113.17	ENSG00000147113.17	-1.92283459212727	4.81229581144418	1.89452771363139e-101	1.93642785036673e-99	DIPK2B	79742
ENSG00000184811.4	ENSG00000184811.4	-4.70859215552493	5.01934048518345	2.21433884524932e-101	2.25139988486981e-99	TRARG1	286753
ENSG00000062282.15	ENSG00000062282.15	-2.97574542187873	5.59207963472805	3.91927229920324e-101	3.96400535476482e-99	DGAT2	84649
ENSG00000184347.15	ENSG00000184347.15	-2.34129761696236	6.05312132071598	1.09684154484796e-100	1.10358255017567e-98	SLIT3	6586
ENSG00000144031.12	ENSG00000144031.12	-2.38287118453383	0.317333089729556	1.63960987264017e-100	1.64113904246958e-98	ANKRD53	79998
ENSG00000116690.13	ENSG00000116690.13	-3.76912802391166	3.64837064633849	2.80279354592606e-100	2.79094668660823e-98	PRG4	10216
ENSG00000265972.6	ENSG00000265972.6	-1.95772986589966	9.62629003490791	7.54077370463004e-100	7.47039315005349e-98	TXNIP	10628
ENSG00000189129.14	ENSG00000189129.14	-2.78930593018238	3.21418369302508	9.90839518616741e-100	9.76583562277459e-98	PLAC9	219348
ENSG00000018625.15	ENSG00000018625.15	-3.82150414104249	3.5718247493818	1.47560702240175e-99	1.44699372887091e-97	ATP1A2	477
ENSG00000116016.14	ENSG00000116016.14	-1.80647385507143	7.6887505517806	2.40036383102227e-99	2.34193073170143e-97	EPAS1	2034
ENSG00000287148.1	ENSG00000287148.1	-5.00920600825064	0.874250857287277	2.42930535146388e-99	2.35825732560699e-97	LINCADL	107986443
ENSG00000139112.11	ENSG00000139112.11	-1.42666869219323	5.69161172823099	5.47450360437327e-99	5.28782303146414e-97	GABARAPL1	23710
ENSG00000067113.17	ENSG00000067113.17	-1.68290516856303	4.87291473184467	6.55015320954755e-99	6.29531640308654e-97	PLPP1	8611
ENSG00000164849.10	ENSG00000164849.10	-2.32748477342276	0.285614060637991	1.07916162572263e-98	1.03204179632227e-96	GPR146	115330
ENSG00000081377.17	ENSG00000081377.17	-1.78282418870242	4.01392866741119	1.5802890893634e-98	1.50384357774986e-96	CDC14B	8555
ENSG00000119185.13	ENSG00000119185.13	-1.20441341846821	5.63479955407284	9.792073004651e-98	9.27270913254157e-96	ITGB1BP1	9270
ENSG00000069122.19	ENSG00000069122.19	-1.85137927173831	5.57052879185087	1.16640600412466e-97	1.09915274086245e-95	ADGRF5	221395
