ensembl_gene_id	entrezgene_id	entrezgene_accession
ENSG00000166949	4088	SMAD3
ENSG00000141646	4089	SMAD4
ENSG00000186868	4137	MAPT
ENSG00000143384	4170	MCL1
ENSG00000135679	4193	MDM2
ENSG00000105976	4233	MET
ENSG00000179583	4261	CIITA
ENSG00000240972	4282	MIF
ENSG00000187098	4286	MITF
ENSG00000076242	4292	MLH1
ENSG00000087245	4313	MMP2
ENSG00000157227	4323	MMP14
ENSG00000020922	4361	MRE11
ENSG00000095002	4436	MSH2
ENSG00000198804	4512	COX1
ENSG00000185499	4582	MUC1
ENSG00000136997	4609	MYC
ENSG00000100345	4627	MYH9
ENSG00000133392	4629	MYH11
ENSG00000119013	4709	NDUFB3
ENSG00000065518	4710	NDUFB4
ENSG00000186575	4771	NF2
ENSG00000148400	4851	NOTCH1
ENSG00000074181	4854	NOTCH3
ENSG00000213281	4893	NRAS
ENSG00000065978	4904	YBX1
ENSG00000106366	5054	SERPINE1
ENSG00000149269	5058	PAK1
ENSG00000007372	5080	PAX6
ENSG00000132646	5111	PCNA
ENSG00000113721	5159	PDGFRB
ENSG00000131828	5160	PDHA1
ENSG00000152256	5163	PDK1
ENSG00000140992	5170	PDPK1
ENSG00000261371	5175	PECAM1
ENSG00000079739	5236	PGM1
ENSG00000082175	5241	PGR
ENSG00000121879	5290	PIK3CA
ENSG00000051382	5291	PIK3CB
ENSG00000145675	5295	PIK3R1
ENSG00000124181	5335	PLCG1
ENSG00000197943	5336	PLCG2
ENSG00000166851	5347	PLK1
ENSG00000122512	5395	PMS2
ENSG00000140521	5428	POLG
ENSG00000204531	5460	POU5F1
ENSG00000132356	5562	PRKAA1
ENSG00000162409	5563	PRKAA2
ENSG00000108946	5573	PRKAR1A
ENSG00000154229	5578	PRKCA
ENSG00000163932	5580	PRKCD
ENSG00000100030	5594	MAPK1
ENSG00000166484	5598	MAPK7
ENSG00000107643	5599	MAPK8
ENSG00000050748	5601	MAPK9
ENSG00000169032	5604	MAP2K1
ENSG00000126934	5605	MAP2K2
ENSG00000185920	5727	PTCH1
ENSG00000171862	5728	PTEN
ENSG00000073756	5743	PTGS2
ENSG00000169398	5747	PTK2
ENSG00000179295	5781	PTPN11
ENSG00000127947	5782	PTPN12
ENSG00000081237	5788	PTPRC
ENSG00000089159	5829	PXN
ENSG00000179262	5886	RAD23A
ENSG00000051180	5888	RAD51
ENSG00000132155	5894	RAF1
ENSG00000139687	5925	RB1
ENSG00000101773	5932	RBBP8
ENSG00000173039	5970	RELA
ENSG00000106615	6009	RHEB
ENSG00000117748	6118	RPA2
ENSG00000137154	6194	RPS6
ENSG00000117676	6195	RPS6KA1
ENSG00000108443	6198	RPS6KB1
ENSG00000167325	6240	RRM1
ENSG00000171848	6241	RRM2
ENSG00000196154	6275	S100A4
ENSG00000073578	6389	SDHA
ENSG00000104332	6422	SFRP1
ENSG00000136450	6426	SRSF1
ENSG00000118515	6446	SGK1
ENSG00000160691	6464	SHC1
ENSG00000185664	6490	PMEL
ENSG00000124216	6615	SNAI1
ENSG00000142168	6647	SOD1
ENSG00000291237	6648	SOD2
ENSG00000181449	6657	SOX2
ENSG00000197122	6714	SRC
ENSG00000168610	6774	STAT3
ENSG00000126561	6776	STAT5A
ENSG00000087586	6790	AURKA
ENSG00000118046	6794	STK11
ENSG00000165025	6850	SYK
ENSG00000148516	6935	ZEB1
ENSG00000108064	7019	TFAM
ENSG00000185551	7026	NR2F2
ENSG00000072274	7037	TFRC
ENSG00000198959	7052	TGM2
ENSG00000141510	7157	TP53
ENSG00000067369	7158	TP53BP1
ENSG00000165699	7248	TSC1
ENSG00000103197	7249	TSC2
ENSG00000127824	7277	TUBA4A
ENSG00000178952	7284	TUFM
ENSG00000122691	7291	TWIST1
ENSG00000186827	7293	TNFRSF4
ENSG00000092445	7301	TYRO3
ENSG00000140740	7385	UQCRC2
ENSG00000198382	7405	UVRAG
ENSG00000125753	7408	VASP
ENSG00000035403	7414	VCL
ENSG00000213585	7416	VDAC1
ENSG00000134086	7428	VHL
ENSG00000166483	7465	WEE1
ENSG00000100219	7494	XBP1
ENSG00000136936	7507	XPA
ENSG00000073050	7515	XRCC1
ENSG00000166913	7529	YWHAB
ENSG00000108953	7531	YWHAE
ENSG00000164924	7534	YWHAZ
ENSG00000115085	7535	ZAP70
ENSG00000121060	7706	TRIM25
ENSG00000125618	7849	PAX8
ENSG00000117713	8289	ARID1A
ENSG00000168148	8290	H3-4
ENSG00000163930	8314	BAP1
ENSG00000177169	8408	ULK1
ENSG00000227345	8505	PARG
ENSG00000079277	8569	MKNK1
ENSG00000185950	8660	IRS2
ENSG00000126581	8678	BECN1
ENSG00000162734	8682	PEA15
ENSG00000137275	8737	RIPK1
ENSG00000103769	8766	RAB11A
ENSG00000122779	8805	TRIM24
ENSG00000109452	8821	INPP4B
ENSG00000161011	8878	SQSTM1
ENSG00000198901	9055	PRC1
ENSG00000162595	9077	DIRAS3
ENSG00000127564	9088	PKMYT1
ENSG00000141526	9123	SLC16A3
ENSG00000178999	9212	AURKB
ENSG00000071539	9319	TRIP13
ENSG00000172071	9451	EIF2AK3
ENSG00000057663	9474	ATG5
ENSG00000131778	9557	CHD1L
ENSG00000146457	9589	WTAP
ENSG00000170873	9788	MTSS1
ENSG00000033327	9846	GAB2
ENSG00000116688	9927	MFN2
ENSG00000153094	10018	BCL2L11
ENSG00000087470	10059	DNM1L
ENSG00000086758	10075	HUWE1
ENSG00000108179	10105	PPIF
ENSG00000113522	10111	RAD50
ENSG00000126602	10131	TRAP1
ENSG00000130726	10155	TRIM28
ENSG00000130669	10298	PAK4
ENSG00000123416	10376	TUBA1B
ENSG00000104419	10397	NDRG1
ENSG00000137693	10413	YAP1
ENSG00000130560	10422	UBAC1
ENSG00000167863	10476	ATP5PD
ENSG00000197548	10533	ATG7
ENSG00000128050	10606	PAICS
ENSG00000136231	10643	IGF2BP3
ENSG00000166225	10818	FRS2
ENSG00000121022	10987	COPS5
ENSG00000129465	11035	RIPK3
ENSG00000183765	11200	CHEK2
ENSG00000116288	11315	PARK7
ENSG00000168397	23192	ATG4B
ENSG00000081913	23239	PHLPP1
ENSG00000141867	23476	BRD4
ENSG00000180448	23526	ARHGAP45
ENSG00000035664	23604	DAPK2
ENSG00000104205	23678	SGK3
ENSG00000018408	25937	WWTR1
ENSG00000157954	26100	WIPI2
ENSG00000092621	26227	PHGDH
ENSG00000105327	27113	BBC3
ENSG00000150593	27250	PDCD4
ENSG00000105393	29086	BABAM1
ENSG00000120217	29126	CD274
ENSG00000103319	29904	EEF2K
ENSG00000006327	51330	TNFRSF12A
ENSG00000198492	51441	YTHDF2
ENSG00000116285	54206	ERRFI1
ENSG00000091542	54890	ALKBH5
ENSG00000070540	55062	WIPI1
ENSG00000110497	55626	AMBRA1
ENSG00000171109	55669	MFN1
ENSG00000131069	55902	ACSS2
ENSG00000170262	56246	MRAP
ENSG00000165819	56339	METTL3
ENSG00000184047	56616	DIABLO
ENSG00000160803	56893	UBQLN4
ENSG00000078237	57103	TIGAR
ENSG00000132698	57111	RAB25
ENSG00000141564	57521	RPTOR
ENSG00000124126	57580	PREX1
ENSG00000144848	64422	ATG3
ENSG00000162775	64783	RBM15
ENSG00000140718	79068	FTO
ENSG00000134258	79679	VTCN1
ENSG00000103855	80381	CD276
ENSG00000167513	81620	CDT1
ENSG00000261150	83481	EPPK1
ENSG00000136152	83548	COG3
ENSG00000204673	84335	AKT1S1
ENSG00000101460	84557	MAP1LC3A
ENSG00000172716	91607	SLFN11
ENSG00000164430	115004	CGAS
ENSG00000153944	124540	MSI2
ENSG00000198053	140885	SIRPA
ENSG00000168404	197259	MLKL
ENSG00000164327	253260	RICTOR
ENSG00000185728	253943	YTHDF3
ENSG00000184584	340061	STING1
ENSG00000204580	780	DDR1
