Ab_Name	Gene_Name	NCBI_Entrez_Gene_ID
HLA-DR-DP-DQ-DX	HLA-DRA	3122
HMHA1	ARHGAP45	23526
HNRNPK	HNRNPK	3190
HSP27	HSBP1	3315
HSP27_pS82	HSBP1	3315
HSP60	HSPD1	3329
HSP70	HSPA1A	3303
IDO	IDO1	3620
IGF1R_pY1135_Y1136	IGF1R, INSR	3480, 3643
IGFBP2	IGFBP2	3485
IGFBP3	IGFBP3	3486
IGFRb	IGF1R	3480
IL-6	IL6	3569
IMP3	IGF2BP3	10643
INPP4b	INPP4B	8821
IR-b	INSR	3643
IRF-1	IRF1	3659
IRF-3	IRF3	3661
IRS1	IRS1	3667
IRS2	IRS2	8660
JAB1	COPS5	10987
Jagged1	JAG1	182
Jak2	JAK2	3717
JNK_pT183_Y185	MAPK8	5599
JNK2	MAPK9	5601
KAP1	TRIM28	10155
KEAP1	KEAP1	9817
LAD1	LAD1	3898
Lasu1	HUWE1	10075
LC3A-B	MAP1LC3A, B	84557, 81631
LKB1	LKB1	6794
Lck	LCK	3932
LCN2	LCN2	3934
LDHA	LDHA	3939
LRP6_pS1490	LRP6	4040
Lyn	LYN	4067
MACC1	MACC1	346389
MAPKPT202Y204	MAPK1, 3	5594, 5595
Mcl-1	MCL1	4170
MCT4	SLC16A3	9123
MDM2_pS166	MDM2	4193
MEK1	MAP2K1	5604
MEK1PS217S221	MAP2K1, 2	5604, 5605
MEK2	MAP2K2	5605
MelanA	MLANA	2315
MELANOMAGP100	PMEL	6490
MRE11	MRE11	4361
MERIT40	BABAM1	29086
MERIT40_pS29	BABAM1	29086
NF2	NF2	4771
METTL3	METTL3	56339
Midkine	MDK	4192
MIF	MIF	4282
MIG6	ERRFI1	54206
MITF	MITF	4286
Mitofusin-1	MFN1	55669
Mitofusin-2	MFN2	9927
MLH1	MLH1	4292
MLKL	MLKL	197259
MMP14	MMP14	4323
MMP2	MMP2	4313
Mnk1	MKNK1	8569
MR1	MR1	3140
MRAP	MRAP	56246
MSH2	MSH2	4436
MSH6	MSH6	2956
MSI2	MSI2	124540
MTCO1	MT-CO1	4512
mTOR	MTOR	2475
mTOR_pS2448	MTOR	2475
MTSS1	MTSS1	9788
MYH11	MYH11	4629
Myosin-IIa	MYH9	4627
Myosin-IIa_pS1943	MYH9	4627
Myt1	PKMYT1	9088
NAPSIN-A	NAPSA	9476
N-Cadherin	CDH2	1000
NDRG1_pT346	NDRG1	10397
NDUFB4	NDUFB4	4710
NF-kB-p65_pS536	RELA	5970
Notch1	NOTCH1	4851
Notch1-cleaved	NOTCH1	4851
Notch3	NOTCH3	4854
NQO1	NQO1	1728
N-Ras	NRAS	4893
NRF2	NFE2L2	4780
OCT4	POU5F1	5460
p16INK4a	CDKN2A	1029
p21	CDKN1A	1026
p27_pT157	CDKN1B	1027
p27_pT198	CDKN1B	1027
P27	CDKN1B	1027
p38-a	MAPK14	1432
p38-MAPK	MAPK11, 12, 14	5600, 6300, 1432
P62LCKLIGAND	SQSTM1	8878
P38PT180Y182	MAPK11-14	5600, 6300, 5603, 1432
p44-42-MAPK	MAPK1, 3	5594, 5595
p53	TP53	7157
p70-S6K_pT389	RPS6KB1	6198
p70-S6K1	RPS6KB1	6198
p90RSK_pT573	RPS6KA1	6195
PAI-1	SERPINE1	5054
PAICS	PAICS	10606
PAK_pS474_S602_S560	PAK4-6	10298, 57144, 56924
PAK_pT423_T402	PAK1-3	5058, 5062, 5063
PAK1	PAK1	5058
PAK4	PAK4	10298
PAR	(PAR Modification)	NA
PDGFRB	PDGFRB	5159
PARG	PARG	8505
PARPCLEAVED	PARP1	142
Patched	PTCH1	5727
PAX6	PAX6	5080
PAX8	PAX8	7849
Paxillin	PXN	5829
P-Cadherin	CDH3	1001
PCNA	PCNA	5111
PD-1	PDCD1	5133
Pdcd4	PDCD4	27250
PDH	DLAT	1737
PDHA1	PDHA1	5160
PDHK1	PDK1	5163
PDK1	PDPK1	5170
PDK1_pS241	PDPK1	5170
PD-L1	CD274	29126
PEA-15	PEA15	8682
PEA-15_pS116	PEA15	8682
PERK	EIF2AK3	9451
PGM1	PGM1	5236
PHGDH	PHGDH	26227
PHLPP	PHLPP1	23239
PI3KP110ALPHA	PIK3CA	5290
PI3K-p110-b	PIK3CB	5291
PI3K-p85	PIK3R1	5295
PIP4K2A	PIP4K2A	5305
PIP4K2B	PIP4K2B	8396
PKA-a	PRKAR1A	5573
PKCALPHA	PRKCA	5578
PKC-a-b-II_pT638_T641	PRKCA, B	5578, 5579
PKC-b-II_pS660	PRKCA, B, D, E, H, Q	5578-81, 5583, 5588
PKC-delta_pS664	PRKCD	5580
PKM2	PKM	5315
PLC-gamma1	PLCG1	5335
PLC-gamma1_pS1248	PLCG1	5335
PLC-gamma2_pY759	PLCG2	5336
PLK1	PLK1	5347
PMS2	PMS2	5395
DNAPOLG	POLG	5428
Porin	VDAC1	7416
PR	PGR	5241
PRAS40	AKT1S1	84335
PRAS40_pT246	AKT1S1	84335
PRC1_pT481	PRC1	9055
PREX1	PREX1	57580
PRMT1	PRMT1	3276
PRMT5	PRMT5	10419
PTEN	PTEN	5728
PTPN12	PTPN12	5782
Puma	BBC3	27113
PYGB	PYGB	5834
PYGM	PYGM	5837
Pyk2_pY402	PTK2B	2185
Rab11	RAB11A, B	8766, 9230
Rab11FIP1	RAB11FIP1	80223
Rab25	RAB25	57111
Rad17_pS645	RAD17	5884
Rad23A	RAD23A	5886
Rad50	RAD50	10111
Rad51	RAD51	5888
Raptor	RPTOR	57521
Rb	RB1	5925
Rb_pS807_S811	RB1	5925
RBM15	RBM15	64783
Rheb	RHEB	6009
Rictor	RICTOR	253260
Rictor_pT1135	RICTOR	253260
RIP	RIPK1	8737
RIP3	RIPK3	11035
RPA32	RPA2	6118
RPA32_pS4/S8	RPA2	6118
RRM1	RRM1	6240
RRM2	RRM2	6241
RSK	RPS6KA1-3	6195-7
RSK1	RPS6KA1	6195
S100A4	S100A4	6275
S6	RPS6	6194
S6_pS235_S236	RPS6	6194
S6_pS240_S244	RPS6	6194
SCD	SCD	6319
SDHA	SDHA	6389
SF2	SRSF1	6426
SFRP1	SFRP1	6422
SGK1	SGK1	6446
SGK3	SGK3	23678
Shc_pY317	SHC1	6464
SHP2	PTPN11	5781
SHP-2_pY542	PTPN11	5781
SIRP-alpha	SIRPA	140885
SLC1A5	SLC1A5	6510
Slfn11	SLFN11	91607
Smac	DIABLO	56616
Smad1	SMAD1	4086
Smad3	SMAD3	4088
Smad4	SMAD4	4089
Snail	SNAI1	6615
SOD1	SOD1	6647
SOD2	SOD2	6648
Sox17	SOX17	64321
Sox2	SOX2	6657
SOX7	SOX7	83595
Src	SRC	6714
Src_pY416	FYN, HCK, LCK, LYN, SRC, YES1	2534, 3055, 3932, 4067, 6714, 7525 
Src_pY527	SRC	6714
Stat1_pY701	STAT1	6772
Stat3	STAT3	6774
Stat3_pY705	STAT3	6774
STAT5ALPHA	STAT5A	6776
STATHMIN	STMN1	3925
STING	STING1	340061
Syk	SYK	6850
Synaptophysin	SYP	6855
Tau	MAPT	4137
TAZ	WWTR1	25937
TEAD	TEAD1-4	7003-5, 8463
TFAM	TFAM	7019
TFRC	TFRC	7037
TIGAR	TIGAR	57103
Transglutaminase	TGM2	7052
TRAP1	TRAP1	10131
TRIM24	TRIM24	8805
TRIM25	TRIM25	7706
TRIP13	TRIP13	9319
TSC1	TSC1	7248
TTF1	NKX2-1	7080
Tuberin	TSC2	7249
Tuberin_pT1462	TSC2	7249
TUFM	TUFM	7284
TWIST	TWIST1	7291
Tyro3	TYRO3	7301
UBAC1	UBAC1	10422
UBQLN4	UBQLN4	56893
UGT1A	UGT1A1, 3-5, 7-10	54575-7, 54579, 54600, 54657-9
U-Histone-H2B	H2BC3	3018
ULK1_pS757	ULK1	8408
UQCRC2	UQCRC2	7385
UVRAG	UVRAG	7405
VASP	VASP	7408
Vav1	VAV1	4709
VEGFR-2	KDR	3791
VEGFR-2_pY1175	KDR	3791
VHL	VHL	7428
VHL-EPPK1	EPPK1	83481
Vinculin	VCL	7414
Wee1	WEE1	7465
Wee1_pS642	WEE1	7465
WIPI1	WIPI1	55062
WIPI2	WIPI2	26100
WTAP	WTAP	9589
XBP-1	XBP1	7494
XIAP	XIAP	331
XPA	XPA	7507
XPF	ERCC4	2072
XRCC1	XRCC1	7515
YAP	YAP1	10413
YAP_pS127	YAP1	10413
YB1_pS102	YBX1	4904
YES1	YES1	7525
YTHDF2	YTHDF2	51441
YTHDF3	YTHDF3	253943
ZAP-70	ZAP70	7535
ZEB1	ZEB1	6935
ACETYLATUBULINLYS40	TUBA1B	10376
4EBP1PT70	EIF4EBP1	1978
