Gene % GC content	miRBase ID
60.00	hsa-mir-200b
55.88	hsa-mir-200c
58.18	hsa-mir-202
57.27	hsa-mir-203a
54.65	hsa-mir-203b
48.18	hsa-mir-204
48.18	hsa-mir-205
45.35	hsa-mir-206
38.03	hsa-mir-20a
44.93	hsa-mir-20b
48.61	hsa-mir-21
72.73	hsa-mir-210
59.09	hsa-mir-211
61.33	hsa-mir-2110
55.00	hsa-mir-2114
44.00	hsa-mir-2115
52.50	hsa-mir-2116
73.64	hsa-mir-212
56.36	hsa-mir-214
34.55	hsa-mir-215
47.27	hsa-mir-216a
36.36	hsa-mir-217
44.55	hsa-mir-218-1
55.45	hsa-mir-218-2
68.18	hsa-mir-219a-1
54.12	hsa-mir-22
47.27	hsa-mir-221
50.91	hsa-mir-222
53.64	hsa-mir-223
44.44	hsa-mir-224
69.89	hsa-mir-2277
41.38	hsa-mir-2355
57.53	hsa-mir-23a
57.53	hsa-mir-23a
50.52	hsa-mir-23b
50.00	hsa-mir-24-1
54.79	hsa-mir-24-2
54.79	hsa-mir-24-2
63.10	hsa-mir-25
55.84	hsa-mir-26a-1
47.62	hsa-mir-26a-2
55.84	hsa-mir-26b
60.26	hsa-mir-27a
60.26	hsa-mir-27a
47.42	hsa-mir-27b
52.33	hsa-mir-28
60.00	hsa-mir-296
38.10	hsa-mir-299
32.81	hsa-mir-29a
39.51	hsa-mir-29b-1
39.51	hsa-mir-29b-2
44.32	hsa-mir-29c
40.70	hsa-mir-301a
52.56	hsa-mir-301b
50.63	hsa-mir-3065
54.32	hsa-mir-3074
53.52	hsa-mir-30a
43.18	hsa-mir-30b
50.56	hsa-mir-30c-1
41.67	hsa-mir-30c-2
45.71	hsa-mir-30d
51.09	hsa-mir-30e
50.70	hsa-mir-31
46.15	hsa-mir-3117
64.47	hsa-mir-3127
43.42	hsa-mir-3129
54.67	hsa-mir-3130-1
54.67	hsa-mir-3130-1
54.67	hsa-mir-3130-2
54.67	hsa-mir-3130-2
38.46	hsa-mir-3136
62.79	hsa-mir-3150b
56.47	hsa-mir-3157
49.35	hsa-mir-3170
48.53	hsa-mir-3173
70.00	hsa-mir-3187
50.00	hsa-mir-3199-1
50.00	hsa-mir-3199-2
50.00	hsa-mir-3199-2
38.57	hsa-mir-32
56.47	hsa-mir-3200
50.00	hsa-mir-323a
48.78	hsa-mir-323b
61.45	hsa-mir-324
64.21	hsa-mir-326
68.00	hsa-mir-328
42.50	hsa-mir-329-1
41.67	hsa-mir-329-2
60.64	hsa-mir-330
51.06	hsa-mir-331
38.30	hsa-mir-335
48.39	hsa-mir-337
46.27	hsa-mir-338
73.40	hsa-mir-339
47.83	hsa-mir-33a
72.92	hsa-mir-33b
38.95	hsa-mir-340
49.49	hsa-mir-342
60.20	hsa-mir-345
50.91	hsa-mir-34a
46.43	hsa-mir-34b
40.26	hsa-mir-34c
55.00	hsa-mir-3605
41.67	hsa-mir-361
61.64	hsa-mir-3610
35.63	hsa-mir-3613
50.00	hsa-mir-3614
73.56	hsa-mir-3615
41.54	hsa-mir-362
41.33	hsa-mir-363
53.33	hsa-mir-3651
70.23	hsa-mir-3652
44.83	hsa-mir-365a
45.05	hsa-mir-365b
37.89	hsa-mir-3662
45.45	hsa-mir-3664
71.67	hsa-mir-3677
44.68	hsa-mir-3678
29.76	hsa-mir-3682
37.14	hsa-mir-369
53.33	hsa-mir-3690-1
57.33	hsa-mir-370
50.75	hsa-mir-372
31.94	hsa-mir-374a
41.67	hsa-mir-374b
41.43	hsa-mir-374c
41.67	hsa-mir-374c
67.19	hsa-mir-375
29.41	hsa-mir-376a-1
33.75	hsa-mir-376a-2
35.00	hsa-mir-376b
28.79	hsa-mir-376c
39.13	hsa-mir-377
53.03	hsa-mir-378a
54.32	hsa-mir-378c
40.74	hsa-mir-378d-1
41.84	hsa-mir-378d-2
41.79	hsa-mir-379
40.98	hsa-mir-380
40.00	hsa-mir-381
38.16	hsa-mir-382
49.32	hsa-mir-383
31.43	hsa-mir-3912
33.33	hsa-mir-3913-1
33.33	hsa-mir-3913-2
33.00	hsa-mir-3913-2
70.97	hsa-mir-3917
55.95	hsa-mir-3922
47.95	hsa-mir-3926-1
47.95	hsa-mir-3926-1
53.97	hsa-mir-3926-2
53.97	hsa-mir-3926-2
63.79	hsa-mir-3928
54.21	hsa-mir-3934
56.86	hsa-mir-3940
53.16	hsa-mir-409
41.25	hsa-mir-410
46.88	hsa-mir-411
52.75	hsa-mir-412
38.82	hsa-mir-421
52.13	hsa-mir-423
52.13	hsa-mir-423
51.02	hsa-mir-424
57.47	hsa-mir-425
57.83	hsa-mir-429
58.77	hsa-mir-431
52.13	hsa-mir-432
64.41	hsa-mir-4326
53.76	hsa-mir-433
58.11	hsa-mir-4444-2
58.11	hsa-mir-4444-2
53.73	hsa-mir-4446
47.25	hsa-mir-4473
42.65	hsa-mir-4491
42.86	hsa-mir-449a
48.45	hsa-mir-449b
46.74	hsa-mir-449c
37.50	hsa-mir-4501
27.47	hsa-mir-450a-1
29.00	hsa-mir-450a-2
28.21	hsa-mir-450b
41.67	hsa-mir-451a
41.18	hsa-mir-452
41.67	hsa-mir-4521
39.13	hsa-mir-454
54.17	hsa-mir-455
72.06	hsa-mir-4638
38.46	hsa-mir-4652
54.05	hsa-mir-4660
54.05	hsa-mir-4660
46.67	hsa-mir-4661
32.84	hsa-mir-4662a
66.20	hsa-mir-4664
30.00	hsa-mir-4668
46.25	hsa-mir-4677
48.61	hsa-mir-4709
46.75	hsa-mir-4714
42.70	hsa-mir-4724
67.16	hsa-mir-4728
64.47	hsa-mir-4732
34.12	hsa-mir-4742
67.61	hsa-mir-4746
48.72	hsa-mir-4772
60.00	hsa-mir-4786
79.76	hsa-mir-4787
60.53	hsa-mir-483
59.49	hsa-mir-484
47.95	hsa-mir-485
63.24	hsa-mir-486-1
63.24	hsa-mir-486-2
64.06	hsa-mir-486-2
41.25	hsa-mir-487a
44.05	hsa-mir-487b
39.76	hsa-mir-488
47.62	hsa-mir-489
51.19	hsa-mir-491
53.93	hsa-mir-493
38.27	hsa-mir-494
37.80	hsa-mir-495
42.16	hsa-mir-496
66.96	hsa-mir-497
28.57	hsa-mir-4999
46.60	hsa-mir-5000
69.00	hsa-mir-5001
55.95	hsa-mir-500a
55.70	hsa-mir-500b
53.57	hsa-mir-501
54.17	hsa-mir-5010
55.81	hsa-mir-502
59.15	hsa-mir-503
55.42	hsa-mir-504
52.38	hsa-mir-505
45.22	hsa-mir-508
43.62	hsa-mir-509-1
43.96	hsa-mir-509-2
43.62	hsa-mir-509-2
42.67	hsa-mir-509-3
39.08	hsa-mir-511
39.80	hsa-mir-514a-1
40.91	hsa-mir-514a-2
40.91	hsa-mir-514a-2
40.91	hsa-mir-514a-3
40.91	hsa-mir-514a-3
42.53	hsa-mir-517a
44.78	hsa-mir-517b
51.32	hsa-mir-5187
49.40	hsa-mir-518b
44.55	hsa-mir-518c
44.71	hsa-mir-519a-1
48.24	hsa-mir-520a
45.78	hsa-mir-526b
53.85	hsa-mir-532
30.77	hsa-mir-539
53.57	hsa-mir-541
47.42	hsa-mir-542
38.46	hsa-mir-543
41.51	hsa-mir-545
41.54	hsa-mir-548aw
37.11	hsa-mir-548b
35.23	hsa-mir-548e
37.50	hsa-mir-548v
50.52	hsa-mir-550a-1
50.52	hsa-mir-550a-1
53.61	hsa-mir-550a-2
53.61	hsa-mir-550a-2
50.53	hsa-mir-550a-3
53.12	hsa-mir-551b
27.37	hsa-mir-556
38.98	hsa-mir-5586
44.74	hsa-mir-5683
52.31	hsa-mir-5684
53.95	hsa-mir-5694
55.56	hsa-mir-5698
57.78	hsa-mir-5699
65.62	hsa-mir-574
36.73	hsa-mir-576
39.58	hsa-mir-577
32.65	hsa-mir-579
36.46	hsa-mir-581
35.71	hsa-mir-582
53.61	hsa-mir-584
54.26	hsa-mir-585
62.63	hsa-mir-589
35.05	hsa-mir-590
45.36	hsa-mir-592
53.61	hsa-mir-598
53.61	hsa-mir-598
44.58	hsa-mir-605
46.88	hsa-mir-607
70.83	hsa-mir-615
40.21	hsa-mir-616
45.92	hsa-mir-618
40.21	hsa-mir-624
48.24	hsa-mir-625
35.05	hsa-mir-627
41.05	hsa-mir-628
59.79	hsa-mir-629
73.47	hsa-mir-639
54.64	hsa-mir-642a
38.14	hsa-mir-643
54.84	hsa-mir-6499
56.98	hsa-mir-6503
45.71	hsa-mir-6507
37.65	hsa-mir-6509
29.90	hsa-mir-651
57.41	hsa-mir-6510
71.76	hsa-mir-6511b-1
70.42	hsa-mir-6511b-2
48.57	hsa-mir-6514
50.00	hsa-mir-652
36.46	hsa-mir-653
53.09	hsa-mir-654
35.05	hsa-mir-655
37.18	hsa-mir-656
53.61	hsa-mir-659
49.48	hsa-mir-660
31.71	hsa-mir-664a
42.62	hsa-mir-664b
63.89	hsa-mir-665
63.56	hsa-mir-671
54.43	hsa-mir-6715a
60.00	hsa-mir-6716
43.75	hsa-mir-6718
62.24	hsa-mir-6720
68.49	hsa-mir-675
68.49	hsa-mir-675
39.39	hsa-mir-6755
44.78	hsa-mir-676
61.11	hsa-mir-6761
65.15	hsa-mir-6777
63.08	hsa-mir-6802
56.25	hsa-mir-6806
61.29	hsa-mir-6820
64.06	hsa-mir-6837
66.15	hsa-mir-6842
44.93	hsa-mir-6854
45.07	hsa-mir-6874
57.39	hsa-mir-6892
57.39	hsa-mir-6892
41.82	hsa-mir-7-1
50.91	hsa-mir-7-2
49.09	hsa-mir-7-3
48.86	hsa-mir-708
55.00	hsa-mir-7156
54.08	hsa-mir-744
48.86	hsa-mir-758
63.75	hsa-mir-760
55.86	hsa-mir-766
61.86	hsa-mir-769
50.85	hsa-mir-7702
33.33	hsa-mir-7705
71.64	hsa-mir-7706
69.23	hsa-mir-874
62.79	hsa-mir-877
58.11	hsa-mir-885
55.70	hsa-mir-887
35.44	hsa-mir-889
43.04	hsa-mir-891a
40.45	hsa-mir-9-1
36.78	hsa-mir-9-2
44.44	hsa-mir-9-3
48.72	hsa-mir-92a-1
45.33	hsa-mir-92a-2
75.00	hsa-mir-92b
60.00	hsa-mir-93
43.37	hsa-mir-934
79.12	hsa-mir-935
69.77	hsa-mir-937
74.39	hsa-mir-939
74.39	hsa-mir-939
76.60	hsa-mir-940
44.19	hsa-mir-942
32.95	hsa-mir-944
40.74	hsa-mir-95
47.44	hsa-mir-96
42.86	hsa-mir-98
53.09	hsa-mir-99a
67.14	hsa-mir-99b
