"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"RP11-137H2.4","Unmatched","","","",""
"RP11-93H12.4","Unmatched","","","",""
"RP11-80H5.5","Unmatched","","","",""
"RP11-80H5.2","Unmatched","","","",""
"RP11-313D6.3","Unmatched","","","",""
"WDR11-AS1","Previous symbol","WDR11-DT","WDR11 divergent transcript","HGNC:27437","10q26.12"
"RP11-432J24.2","Unmatched","","","",""
"RP5-1009E24.8","Unmatched","","","",""
"RP5-1009E24.9","Unmatched","","","",""
"RP11-462D18.4","Unmatched","","","",""
"RP11-462D18.2","Unmatched","","","",""
"STK4-AS1","Previous symbol","STK4-DT","STK4 divergent transcript","HGNC:43811","20q13.12"
"RP3-453C12.15","Unmatched","","","",""
"RP4-569M23.4","Unmatched","","","",""
"RP4-569M23.2","Unmatched","","","",""
"TMEM189-UBE2V1","Previous symbol","PEDS1-UBE2V1","PEDS1-UBE2V1 readthrough","HGNC:33521","20q13.13"
"TMEM189","Previous symbol","PEDS1","plasmanylethanolamine desaturase 1","HGNC:16735","20q13.13"
"RP11-112L6.3","Unmatched","","","",""
"RP11-112L6.2","Unmatched","","","",""
"RP4-530I15.6","Unmatched","","","",""
"FAM65C","Previous symbol","RIPOR3","RIPOR family member 3","HGNC:16168","20q13.13"
"RP5-827A12.2","Unmatched","","","",""
"AC006076.1","Unmatched","","","",""
"AC093620.5","Unmatched","","","",""
"AC092171.2","Unmatched","","","",""
"RP11-1275H24.2","Unmatched","","","",""
"RP11-1275H24.3","Unmatched","","","",""
"RP11-1275H24.1","Unmatched","","","",""
"AC006483.1","Unmatched","","","",""
"SNORA42","Previous symbol","SNORA80E","small nucleolar RNA, H/ACA box 80E","HGNC:32635","1q22"
"AC005083.1","Unmatched","","","",""
"AC002480.5","Unmatched","","","",""
"AC002480.2","Unmatched","","","",""
"AC005189.6","Unmatched","","","",""
"RP5-1186P10.1","Unmatched","","","",""
"KIAA1324L","Previous symbol","ELAPOR2","endosome-lysosome associated apoptosis and autophagy regulator family member 2","HGNC:21945","7q21.12"
"AC002451.3","Unmatched","","","",""
"CTB-152G17.4","Unmatched","","","",""
"C7orf49","Previous symbol","CYREN","cell cycle regulator of NHEJ","HGNC:22432","7q33"
"RP4-584D14.6","Unmatched","","","",""
"AC021218.2","Unmatched","","","",""
"RP5-1142J19.2","Unmatched","","","",""
"RP11-146I2.1","Unmatched","","","",""
"RP1-151F17.1","Unmatched","","","",""
"RP1-151F17.2","Unmatched","","","",""
"FAM65B","Previous symbol","RIPOR2","RHO family interacting cell polarization regulator 2","HGNC:13872","6p22.3"
"HIST1H4A","Previous symbol","H4C1","H4 clustered histone 1","HGNC:4781","6p22.2"
"HIST1H1C","Previous symbol","H1-2","H1.2 linker histone, cluster member","HGNC:4716","6p22.2"
"HIST1H4D","Previous symbol","H4C4","H4 clustered histone 4","HGNC:4782","6p22.2"
"HIST1H4G","Previous symbol","H4C7","H4 clustered histone 7","HGNC:4792","6p22.2"
"HIST1H3F","Previous symbol","H3C7","H3 clustered histone 7","HGNC:4773","6p22.2"
"HIST1H2BH","Previous symbol","H2BC9","H2B clustered histone 9","HGNC:4755","6p22.2"
"HIST1H2BN","Previous symbol","H2BC15","H2B clustered histone 15","HGNC:4749","6p22.1"
"HIST1H2AK","Previous symbol","H2AC15","H2A clustered histone 15","HGNC:4726","6p22.1"
"XXbac-BPG252P9.10","Unmatched","","","",""
"GLTSCR1L","Previous symbol","BICRAL","BICRA like chromatin remodeling complex associated protein","HGNC:21111","6p21.1"
"GPR110","Previous symbol","ADGRF1","adhesion G protein-coupled receptor F1","HGNC:18990","6p12.3"
"RP11-553A21.3","Unmatched","","","",""
"RP1-234P15.4","Unmatched","","","",""
"RP3-344J20.1","Unmatched","","","",""
"RP1-124C6.1","Unmatched","","","",""
"RP11-557H15.4","Unmatched","","","",""
"RP1-32B1.4","Unmatched","","","",""
"RP11-12A2.1","Unmatched","","","",""
"RP11-136K14.2","Unmatched","","","",""
"RP1-266L20.4","Unmatched","","","",""
"RP1-266L20.2","Unmatched","","","",""
"RP5-1086L22.1","Unmatched","","","",""
"FLJ38122","Unmatched","","","",""
"RP5-894D12.5","Unmatched","","","",""
"RP1-196A12.1","Unmatched","","","",""
"RP11-616M22.7","Unmatched","","","",""
"LA16c-425C2.1","Unmatched","","","",""
"LA16c-395F10.2","Unmatched","","","",""
"LA16c-395F10.1","Unmatched","","","",""
"RP11-304L19.3","Unmatched","","","",""
"RP11-65J21.1","Unmatched","","","",""
"FAM57B","Previous symbol","TLCD3B","TLC domain containing 3B","HGNC:25295","16p11.2"
"CTD-2033A16.3","Unmatched","","","",""
"RP11-394B2.6","Unmatched","","","",""
"RP11-432I5.1","Unmatched","","","",""
"RP11-345M22.1","Unmatched","","","",""
"RP11-70D24.1","Unmatched","","","",""
"RP11-510J16.5","Alias symbol","HSD17B2-AS1","HSD17B2 antisense RNA 1","HGNC:56281","16q23.3"
"RP11-61F12.1","Unmatched","","","",""
"RP11-442O1.4","Unmatched","","","",""
"RP11-442O1.3","Unmatched","","","",""
"RP11-178L8.7","Unmatched","","","",""
"RP4-536B24.4","Unmatched","","","",""
"RP4-536B24.3","Unmatched","","","",""
"RP11-46C24.7","Unmatched","","","",""
"AC137932.6","Unmatched","","","",""
"RP11-566K11.7","Unmatched","","","",""
"CH17-302M23.1","Unmatched","","","",""
"CTD-2142D14.1","Unmatched","","","",""
"CTD-2058B24.2","Unmatched","","","",""
"RP11-596C23.2","Unmatched","","","",""
"RP11-218E20.5","Unmatched","","","",""
"FRMD6-AS1","Approved symbol","FRMD6-AS1","FRMD6 antisense RNA 1","HGNC:20129","14q22.1"
"CTD-2184C24.2","Unmatched","","","",""
"CTD-2509G16.2","Unmatched","","","",""
"CTD-2509G16.3","Unmatched","","","",""
"CTD-2509G16.1","Unmatched","","","",""
"CTD-2325P2.4","Unmatched","","","",""
"RP11-293M10.2","Unmatched","","","",""
"RP11-293M10.1","Unmatched","","","",""
"RP11-488C13.4","Unmatched","","","",""
"RP11-7F17.7","Unmatched","","","",""
"RP11-7F17.8","Unmatched","","","",""
"RP11-7F17.5","Unmatched","","","",""
"LINC01146","Previous symbol","HISLA","HIF1A stabilizing long noncoding RNA","HGNC:49467","14q31.3"
"RP11-1078H9.5","Unmatched","","","",""
"C14orf159","Previous symbol","DGLUCY","D-glutamate cyclase","HGNC:20498","14q32.11"
"RP11-436M15.1","Unmatched","","","",""
"RP11-436M15.3","Unmatched","","","",""
"LINC00637","Previous symbol","PPP1R13B-DT","PPP1R13B divergent transcript","HGNC:27069","14q32.33"
"RP11-624L4.1","Unmatched","","","",""
"RP11-521C20.2","Unmatched","","","",""
"RP11-521C20.3","Unmatched","","","",""
"CTD-2129N1.1","Unmatched","","","",""
"RP11-540O11.1","Unmatched","","","",""
"CTD-2378E12.1","Unmatched","","","",""
"RP11-108K3.4","Unmatched","","","",""
"C15orf65","Previous symbol","PIERCE2","piercer of microtubule wall 2","HGNC:44654","15q21.3"
"AC007950.1","Unmatched","","","",""
"AC007950.2","Unmatched","","","",""
"RP11-798K3.2","Unmatched","","","",""
"RP11-342M21.2","Unmatched","","","",""
"RP11-279F6.1","Unmatched","","","",""
"PCAT29","Approved symbol","PCAT29","prostate cancer associated transcript 29","HGNC:50895","15q23"
"RP11-96C21.1","Unmatched","","","",""
"RP11-414J4.2","Unmatched","","","",""
"RP11-775C24.5","Unmatched","","","",""
"MESDC1","Previous symbol","TLNRD1","talin rod domain containing 1","HGNC:13519","15q25.1"
"RP11-154B12.3","Unmatched","","","",""
"RP11-386M24.5","Unmatched","","","",""
"RP11-386M24.10","Unmatched","","","",""
"CTD-2313J17.6","Unmatched","","","",""
"CTD-2313J17.1","Unmatched","","","",""
"CTD-2313J17.7","Unmatched","","","",""
"AC013394.2","Unmatched","","","",""
"LINC01197","Previous symbol","LETR1","lymphatic endothelial transcriptional regulator lncRNA 1","HGNC:49597","15q26.2"
"RP11-327J17.8","Unmatched","","","",""
"RP11-654A16.1","Unmatched","","","",""
"RP11-20G13.4","Unmatched","","","",""
"RP11-66B24.5","Unmatched","","","",""
"RP11-66B24.3","Unmatched","","","",""
"RP11-66B24.2","Unmatched","","","",""
"RP11-66B24.7","Unmatched","","","",""
"RP11-66B24.8","Unmatched","","","",""
"AC144450.1","Unmatched","","","",""
"AC144450.2","Unmatched","","","",""
"FLJ31356","Unmatched","","","",""
"RP11-373D23.2","Unmatched","","","",""
"RP11-563N4.1","Unmatched","","","",""
"AC016995.3","Unmatched","","","",""
"LINC01185","Previous symbol","REL-DT","REL divergent transcript","HGNC:49572","2p16.1"
"AC007098.1","Unmatched","","","",""
"AC062029.1","Unmatched","","","",""
"AC012360.6","Unmatched","","","",""
"AC009303.1","Unmatched","","","",""
"RP11-98C1.2","Unmatched","","","",""
"AC009506.1","Unmatched","","","",""
"AC079305.10","Unmatched","","","",""
"AC108066.1","Unmatched","","","",""
"AC093382.1","Unmatched","","","",""
"RQCD1","Previous symbol","CNOT9","CCR4-NOT transcription complex subunit 9","HGNC:10445","2q35"
"AC011286.1","Unmatched","","","",""
"AC131097.4","Unmatched","","","",""
"CTD-3252C9.4","Unmatched","","","",""
"EMR2","Previous symbol","ADGRE2","adhesion G protein-coupled receptor E2","HGNC:3337","19p13.12"
"CTD-2527I21.7","Unmatched","","","",""
"CTD-2554C21.1","Unmatched","","","",""
"CTC-244M17.1","Unmatched","","","",""
"PVRL2","Previous symbol","NECTIN2","nectin cell adhesion molecule 2","HGNC:9707","19q13.32"
"CTB-147N14.6","Unmatched","","","",""
"CTB-147N14.4","Unmatched","","","",""
"AC006116.17","Unmatched","","","",""
"RP11-478C6.1","Unmatched","","","",""
"RP11-468N14.13","Unmatched","","","",""
"RP11-791G16.2","Unmatched","","","",""
"RP11-556I14.1","Unmatched","","","",""
"RP11-73K9.2","Unmatched","","","",""
"RP11-610P16.1","Alias symbol","FHIP1A-DT","FHIP1A divergent transcript","HGNC:53123","4q31.3"
"FAM160A1","Previous symbol","FHIP1A","FHF complex subunit HOOK interacting protein 1A","HGNC:34237","4q31.3"
"RP11-290F5.2","Unmatched","","","",""
"CTD-2139B15.1","Unmatched","","","",""
"CTD-2031P19.5","Unmatched","","","",""
"AC008940.1","Unmatched","","","",""
"CTC-537E7.3","Unmatched","","","",""
"GRAMD3","Previous symbol","GRAMD2B","GRAM domain containing 2B","HGNC:24911","5q23.2"
"AC034243.1","Unmatched","","","",""
"AC008781.7","Unmatched","","","",""
"CTB-57H20.1","Unmatched","","","",""
"CTB-164N12.1","Unmatched","","","",""
"RP11-838N2.8","Unmatched","","","",""
"RP11-78A19.4","Unmatched","","","",""
"RP11-349H17.2","Unmatched","","","",""
"RP11-246E12.2","Unmatched","","","",""
"KIAA0020","Previous symbol","PUM3","pumilio RNA binding family member 3","HGNC:29676","9p24.2"
"C9orf3","Previous symbol","AOPEP","aminopeptidase O (putative)","HGNC:1361","9q22.32"
"RP11-4O1.2","Alias symbol","LINC02977","long intergenic non-protein coding RNA 2977","HGNC:56036","9q31.3"
"FAM129B","Previous symbol","NIBAN2","niban apoptosis regulator 2","HGNC:25282","9q34.11"
"RP11-810M2.2","Unmatched","","","",""
"RP11-849F2.5","Unmatched","","","",""
"RP11-311F12.2","Unmatched","","","",""
"RP11-1094M14.11","Alias symbol","SNHG30","small nucleolar RNA host gene 30","HGNC:52836","17q12"
"AC003958.2","Unmatched","","","",""
"LEPREL4","Previous symbol","P3H4","prolyl 3-hydroxylase family member 4 (inactive)","HGNC:16946","17q21.2"
"CTB-39G8.2","Unmatched","","","",""
"RP11-6N17.9","Unmatched","","","",""
"RP11-6N17.6","Unmatched","","","",""
"RP5-890E16.2","Unmatched","","","",""
"RP11-159D12.3","Unmatched","","","",""
"RP11-579A4.1","Unmatched","","","",""
"AC099850.1","Unmatched","","","",""
"RP11-567L7.3","Unmatched","","","",""
"RP11-619I22.1","Unmatched","","","",""
"CTD-2319I12.4","Unmatched","","","",""
"RP11-156L14.1","Unmatched","","","",""
"MARCH10","Previous symbol","MARCHF10","membrane associated ring-CH-type finger 10","HGNC:26655","17q23.2"
"SNORA76C","Previous symbol","SNORA50C","small nucleolar RNA, H/ACA box 50C","HGNC:32662","17q23.3"
"RP11-474I11.8","Unmatched","","","",""
"RP11-474I11.7","Unmatched","","","",""
"H3F3B","Previous symbol","H3-3B","H3.3 histone B","HGNC:4765","17q25.1"
"RP11-285E9.6","Unmatched","","","",""
"KB-1125A3.11","Unmatched","","","",""
"CTA-292E10.6","Unmatched","","","",""
"CTA-292E10.8","Unmatched","","","",""
"LARGE","Previous symbol","LARGE1","LARGE xylosyl- and glucuronyltransferase 1","HGNC:6511","22q12.3"
"CTA-150C2.13","Unmatched","","","",""
"RP3-333H23.8","Unmatched","","","",""
"RP11-705C15.5","Unmatched","","","",""
"RP11-277P12.9","Unmatched","","","",""
"RP11-277P12.20","Unmatched","","","",""
"KIAA1467","Previous symbol","FAM234B","family with sequence similarity 234 member B","HGNC:29288","12p13.1"
"RP11-233G1.4","Unmatched","","","",""
"RP11-283G6.6","Unmatched","","","",""
"RP11-467L13.4","Unmatched","","","",""
"RP11-467L13.5","Unmatched","","","",""
"RP11-845M18.7","Unmatched","","","",""
"RP11-338E21.1","Unmatched","","","",""
"RP11-338E21.2","Unmatched","","","",""
"RP11-114H23.2","Unmatched","","","",""
"RP11-114H23.1","Unmatched","","","",""
"RP11-359M6.1","Unmatched","","","",""
"RP11-654D12.2","Unmatched","","","",""
"RP11-654D12.1","Unmatched","","","",""
"C12orf79","Previous symbol","LINC01619","long intergenic non-protein coding RNA 1619","HGNC:27409","12q21.33"
"RP11-796E2.4","Unmatched","","","",""
"RP11-356O22.4","Unmatched","","","",""
"RP11-493P1.2","Unmatched","","","",""
"RP11-497G19.2","Unmatched","","","",""
"C12orf49","Previous symbol","SPRING1","SREBF pathway regulator in golgi 1","HGNC:26128","12q24.22"
"CCDC64","Previous symbol","BICDL1","BICD family like cargo adaptor 1","HGNC:28095","12q24.23"
"RP11-173P15.7","Unmatched","","","",""
"AC156455.1","Alias symbol","LINC02985","long intergenic non-protein coding RNA 2985","HGNC:56073","12q24.31"
"RP11-197N18.7","Unmatched","","","",""
"RP11-197N18.8","Unmatched","","","",""
"RP11-417L19.2","Unmatched","","","",""
"RP11-358L22.3","Unmatched","","","",""
"RP11-95H11.1","Unmatched","","","",""
"AF131216.1","Unmatched","","","",""
"RP11-875O11.1","Unmatched","","","",""
"RP11-1112C15.2","Unmatched","","","",""
"RP4-553F4.2","Unmatched","","","",""
"LINC01057","Previous symbol","SLC44A3-AS1","SLC44A3 antisense RNA 1","HGNC:49057","1p21.3"
"RP5-837M10.4","Unmatched","","","",""
"RP11-284P20.3","Unmatched","","","",""
"RP11-305L7.6","Unmatched","","","",""
"CTD-2537I9.12","Unmatched","","","",""
"RP11-1376P16.2","Unmatched","","","",""
"CTD-2547L16.1","Unmatched","","","",""
"RP11-109E24.2","Unmatched","","","",""
"RP11-1260E13.2","Unmatched","","","",""
"RP11-1260E13.3","Unmatched","","","",""
"RP11-599B13.3","Unmatched","","","",""
"RP11-599B13.6","Unmatched","","","",""
"AC004702.2","Unmatched","","","",""
"RP11-6N17.2","Unmatched","","","",""
"RP11-1079K10.4","Unmatched","","","",""
"RP11-700H6.4","Unmatched","","","",""
"AC006947.1","Unmatched","","","",""
"RP11-222G7.2","Unmatched","","","",""
"RP11-597D13.9","Unmatched","","","",""
"FAM198B","Previous symbol","GASK1B","golgi associated kinase 1B","HGNC:25312","4q32.1"
"RP5-1115A15.1","Unmatched","","","",""
"RP4-700A9.1","Unmatched","","","",""
"PGCP1","Previous symbol","PGBP","pepsinogen B, pseudogene","HGNC:39503","1p13.2"
"RP11-315I20.3","Unmatched","","","",""
"RP11-54A4.2","Unmatched","","","",""
"RP11-284F21.8","Unmatched","","","",""
"RP11-284F21.11","Unmatched","","","",""
"DUSP27","Alias symbol","DUSP29","dual specificity phosphatase 29","HGNC:23481","10q22.2"
"DUSP27","Previous symbol","STYXL2","serine/threonine/tyrosine interacting like 2","HGNC:25034","1q24.1"
"RP1-206D15.6","Unmatched","","","",""
"RP11-739N20.2","Unmatched","","","",""
"MARC1","Previous symbol","MTARC1","mitochondrial amidoxime reducing component 1","HGNC:26189","1q41"
"GATSL3","Previous symbol","CASTOR1","cytosolic arginine sensor for mTORC1 subunit 1","HGNC:34423","22q12.2"
"RP6-109B7.4","Unmatched","","","",""
"RP5-1057B20.3","Unmatched","","","",""
"WISP2","Previous symbol","CCN5","cellular communication network factor 5","HGNC:12770","20q13.12"
"RP4-569M23.5","Unmatched","","","",""
"RP11-2I17.4","Unmatched","","","",""
"GRAMD2","Previous symbol","GRAMD2A","GRAM domain containing 2A","HGNC:27287","15q23"
"RP11-290D2.6","Unmatched","","","",""
"AC012442.5","Unmatched","","","",""
"AC104777.4","Unmatched","","","",""
"AC092614.2","Unmatched","","","",""
"AC012485.2","Unmatched","","","",""
"NARFL","Previous symbol","CIAO3","cytosolic iron-sulfur assembly component 3","HGNC:14179","16p13.3"
"RP11-343H19.2","Unmatched","","","",""
"NEAT1_1","Unmatched","","","",""
"NEAT1_2","Unmatched","","","",""
"NEAT1_3","Unmatched","","","",""
"CTD-2530H12.5","Unmatched","","","",""
"AP006216.5","Unmatched","","","",""
"AGPAT6","Previous symbol","GPAT4","glycerol-3-phosphate acyltransferase 4","HGNC:20880","8p11.21"
"RP11-26J3.4","Unmatched","","","",""
"RP11-92K15.1","Unmatched","","","",""
"RP11-47I22.1","Unmatched","","","",""
"RP11-356K23.1","Unmatched","","","",""
"RP1-96H9.5","Unmatched","","","",""
"RP11-158N24.1","Unmatched","","","",""
"RP11-417L19.5","Unmatched","","","",""
"RP11-6F2.5","Unmatched","","","",""
"CTC-537E7.2","Unmatched","","","",""
"CTC-303L1.2","Unmatched","","","",""
"ANKRD32","Previous symbol","SLF1","SMC5-SMC6 complex localization factor 1","HGNC:25408","5q15"
"RP3-475N16.1","Alias symbol","LINC02976","long intergenic non-protein coding RNA 2976","HGNC:56026","6p21.1"
"AC003090.1","Unmatched","","","",""
"INMT-FAM188B","Previous symbol","INMT-MINDY4","INMT-MINDY4 readthrough (NMD candidate)","HGNC:41995","7p14.3"
"CTA-315H11.2","Unmatched","","","",""
"TCEB1P28","Previous symbol","ELOCP28","elongin C pseudogene 28","HGNC:49169","19p13.3"
"AC010649.1","Unmatched","","","",""
"CTB-52I2.4","Unmatched","","","",""
"CNTD2","Previous symbol","CCNP","cyclin P","HGNC:25805","19q13.2"
"RP11-326K13.4","Unmatched","","","",""
"AC009133.17","Unmatched","","","",""
"RP11-21G15.1","Unmatched","","","",""
"RP11-126O1.2","Unmatched","","","",""
"RP11-66B24.9","Unmatched","","","",""
"RP5-908M14.5","Unmatched","","","",""
"RP11-231E6.1","Unmatched","","","",""
"CCDC58","Previous symbol","MIX23","mitochondrial matrix import factor 23","HGNC:31136","3q21.1"
"RP11-206M11.7","Unmatched","","","",""
"RP11-278L15.2","Unmatched","","","",""
"RP11-379F4.7","Unmatched","","","",""
"AC007249.3","Unmatched","","","",""
"AC092687.5","Unmatched","","","",""
"RNA5SP85","Approved symbol","RNA5SP85","RNA, 5S ribosomal pseudogene 85","HGNC:42883","2p25.1"
"AC104777.1","Unmatched","","","",""
"AC078883.3","Alias symbol","ITGA6-AS1","ITGA6 antisense RNA 1","HGNC:40308","2q31.1"
"AC020571.3","Unmatched","","","",""
"AC093642.5","Unmatched","","","",""
"C10orf11","Previous symbol","LRMDA","leucine rich melanocyte differentiation associated","HGNC:23405","10q22.2-q22.3"
"FAM35A","Previous symbol","SHLD2","shieldin complex subunit 2","HGNC:28773","10q23.2"
"RP11-127L20.5","Unmatched","","","",""
"RP11-127L20.3","Unmatched","","","",""
"FAM160B1","Previous symbol","FHIP2A","FHF complex subunit HOOK interacting protein 2A","HGNC:29320","10q25.3"
"RP11-626G11.4","Unmatched","","","",""
"CTD-2186M15.3","Unmatched","","","",""
"CTD-2227I18.1","Unmatched","","","",""
"CTD-2339M3.1","Unmatched","","","",""
"CTD-2376I4.2","Unmatched","","","",""
"PAPD4","Previous symbol","TENT2","terminal nucleotidyltransferase 2","HGNC:26776","5q14.1"
"CTD-2260A17.2","Unmatched","","","",""
"AC005592.1","Unmatched","","","",""
"CTD-2050E21.2","Unmatched","","","",""
"RP11-138H11.1","Unmatched","","","",""
"RP11-165F24.3","Unmatched","","","",""
"RP11-165F24.2","Unmatched","","","",""
"RP11-165F24.5","Unmatched","","","",""
"PPAPDC2","Previous symbol","PLPP6","phospholipid phosphatase 6","HGNC:23682","9p24.1"
"RP11-154D17.1","Unmatched","","","",""
"RP11-423C15.3","Unmatched","","","",""
"RP11-229P13.22","Unmatched","","","",""
"RP11-351I24.1","Unmatched","","","",""
"RP5-916O11.3","Unmatched","","","",""
"CTD-2589M5.4","Alias symbol","LINC02489","long intergenic non-protein coding RNA 2489","HGNC:53470","11p11.2"
"RP11-554A11.7","Unmatched","","","",""
"RP11-21L23.2","Unmatched","","","",""
"RP11-864G5.7","Unmatched","","","",""
"RP11-506K6.4","Unmatched","","","",""
"RP1-140K8.5","Unmatched","","","",""
"RP1-140K8.2","Unmatched","","","",""
"RP3-470L22.1","Unmatched","","","",""
"RP11-528A10.1","Unmatched","","","",""
"RP11-59D5__B.2","Unmatched","","","",""
"RP3-486I3.5","Unmatched","","","",""
"RP11-624M8.1","Unmatched","","","",""
"RP1-225E12.2","Unmatched","","","",""
"RP1-225E12.3","Unmatched","","","",""
"RP1-292B18.3","Unmatched","","","",""
"RP11-710E1.1","Unmatched","","","",""
"RP11-342I1.2","Unmatched","","","",""
"RP11-6L6.7","Unmatched","","","",""
"RP11-798M19.6","Unmatched","","","",""
"TWISTNB","Previous symbol","POLR1F","RNA polymerase I subunit F","HGNC:18027","7p21.1"
"AC005154.7","Unmatched","","","",""
"RP4-777O23.2","Unmatched","","","",""
"FAM188B","Previous symbol","MINDY4","MINDY lysine 48 deubiquitinase 4","HGNC:21916","7p14.3"
"TP53TG1_1","Unmatched","","","",""
"TP53TG1_2","Unmatched","","","",""
"AC022173.2","Unmatched","","","",""
"RP11-666F17.2","Unmatched","","","",""
"RP11-493L12.4","Unmatched","","","",""
"TMEM5","Previous symbol","RXYLT1","ribitol xylosyltransferase 1","HGNC:13530","12q14.2"
"RP11-511B23.2","Unmatched","","","",""
"RP11-561B11.1","Unmatched","","","",""
"C14orf166","Previous symbol","RTRAF","RNA transcription, translation and transport factor","HGNC:23169","14q22.1"
"ELMSAN1","Previous symbol","MIDEAS","mitotic deacetylase associated SANT domain protein","HGNC:19853","14q24.3"
"RP11-381P6.1","Unmatched","","","",""
"CTD-2095E4.3","Unmatched","","","",""
"CTD-2650P22.2","Unmatched","","","",""
"CTD-2650P22.1","Unmatched","","","",""
"RP11-219B17.1","Unmatched","","","",""
"CTD-2501E16.2","Unmatched","","","",""
"RP11-253M7.4","Unmatched","","","",""
"RP11-35O15.1","Unmatched","","","",""
"RP11-35O15.2","Unmatched","","","",""
"VIMP","Previous symbol","SELENOS","selenoprotein S","HGNC:30396","15q26.3"
"RP11-431K24.1","Unmatched","","","",""
"MIR1273G","Entry withdrawn","MIR1273G","","HGNC:41684",""
